"","date","ANZSOC.Group","Area.Unit","Meshblock","Territorial.Authority","Alert.Level"
"850","1/03/2017","Common Assault","Linwood East.",2566700,"Christchurch City.",4
"851","1/03/2017","Common Assault","Northcote.",2665000,"Christchurch City.",4
"852","1/03/2017","Common Assault","Hutt Central.",1967700,"Lower Hutt City.",4
"853","1/03/2017","Common Assault","Willis Street-Cambridge Terrace.",2135700,"Wellington City.",4
"854","1/03/2017","Common Assault","Western Heights.",1218200,"Rotorua District.",4
"855","1/03/2017","Aggravated Sexual Assault","Hamilton Central.",911300,"Hamilton City.",4
"856","1/03/2017","Aggravated Sexual Assault","Gonville South.",1725600,"Wanganui District.",4
"857","1/03/2017","Aggravated Sexual Assault","Blockhouse Bay.",370400,"Auckland.",4
"858","1/03/2017","Aggravated Sexual Assault","Western Heights.",1218400,"Rotorua District.",4
"859","1/03/2017","Non-Aggravated Sexual Assault","Rewarewa.",261403,"Auckland.",4
"860","1/03/2017","Aggravated Sexual Assault","Huntly West.",946500,"Waikato District.",4
"861","1/03/2017","Aggravated Sexual Assault","Welbourn.",1601100,"New Plymouth District.",4
"862","1/03/2017","Aggravated Sexual Assault","Tamarau.",1385101,"Gisborne District.",4
"863","1/03/2017","Aggravated Sexual Assault","Masterton East.",2240200,"Masterton District.",4
"864","1/03/2017","Aggravated Sexual Assault","999999",-36,"Auckland.",4
"865","1/03/2017","Aggravated Sexual Assault","Te Awamutu East.",968504,"Waipa District.",4
"866","1/03/2017","Aggravated Sexual Assault","Mosgiel South.",2968800,"Dunedin City.",4
"867","1/03/2017","Aggravated Sexual Assault","Johnsonville East.",2079200,"Wellington City.",4
"868","1/03/2017","Aggravated Sexual Assault","Wanaka.",3036000,"Queenstown-Lakes District.",4
"869","1/03/2017","Aggravated Sexual Assault","Mosgiel South.",2968100,"Dunedin City.",4
"870","1/03/2017","Aggravated Sexual Assault","Ashburton Central East.",2730000,"Ashburton District.",4
"871","1/03/2017","Aggravated Sexual Assault","Temple View.",979303,"Hamilton City.",4
"872","1/03/2017","Aggravated Sexual Assault","Whangamata.",1061503,"Thames-Coromandel District.",4
"873","1/03/2017","Aggravated Sexual Assault","999999",-279,"Upper Hutt City.",4
"874","1/03/2017","Aggravated Sexual Assault","Mangere East.",748600,"Auckland.",4
"875","1/03/2017","Aggravated Sexual Assault","999999",-153,"Hamilton City.",4
"876","1/03/2017","Aggravated Sexual Assault","999999",-281,"Porirua City.",4
"877","1/03/2017","Aggravated Sexual Assault","999999",-279,"Upper Hutt City.",4
"878","1/03/2017","Aggravated Sexual Assault","Lambton.",2127500,"Wellington City.",4
"879","1/03/2017","Aggravated Sexual Assault","Otakiri.",1300800,"Whakatane District.",4
"880","1/03/2017","Non-Aggravated Sexual Assault","Ohakune.",1677500,"Ruapehu District.",4
"881","1/03/2017","Aggravated Sexual Assault","999999",-153,"Hamilton City.",4
"882","1/03/2017","Aggravated Sexual Assault","Meeanee.",1403800,"Napier City.",4
"883","1/03/2017","Aggravated Sexual Assault","Mangere South.",728700,"Auckland.",4
"884","1/03/2017","Aggravated Sexual Assault","Frankton.",3038303,"Queenstown-Lakes District.",4
"885","1/04/2017","Common Assault","Auckland Central East.",437101,"Auckland.",3
"886","1/04/2017","Common Assault","Riccarton West.",2470700,"Christchurch City.",3
"887","1/04/2017","Common Assault","New Plymouth Central.",1594300,"New Plymouth District.",3
"888","1/04/2017","Common Assault","Henderson North.",239511,"Auckland.",3
"889","1/04/2017","Common Assault","Mangere South.",727200,"Auckland.",3
"890","1/04/2017","Common Assault","Henderson North.",239900,"Auckland.",3
"891","1/04/2017","Common Assault","Middlemore.",786500,"Auckland.",3
"892","1/04/2017","Common Assault","Kilbirnie West-Hataitai South.",2180500,"Wellington City.",3
"893","1/04/2017","Common Assault","Cambridge North.",962200,"Waipa District.",3
"894","1/04/2017","Common Assault","Parklands.",2504602,"Christchurch City.",3
"895","1/04/2017","Common Assault","Hastings Central.",1489400,"Hastings District.",3
"896","1/04/2017","Common Assault","Hornby North.",2486901,"Christchurch City.",3
"897","1/04/2017","Common Assault","Avon Loop.",2655200,"Christchurch City.",3
"898","1/04/2017","Common Assault","New Lynn South.",269300,"Auckland.",3
"899","1/04/2017","Common Assault","St Leonards.",1486700,"Hastings District.",3
"900","1/04/2017","Common Assault","Sturges North.",236603,"Auckland.",3
"901","1/04/2017","Common Assault","Westgate.",224306,"Auckland.",3
"902","1/04/2017","Common Assault","Pegasus.",2447604,"Waimakariri District.",3
"903","1/04/2017","Common Assault","Tauranga South.",1168900,"Tauranga City.",3
"904","1/04/2017","Common Assault","Te Rapa.",907700,"Hamilton City.",3
"905","1/04/2017","Common Assault","Clouston Park.",1908900,"Upper Hutt City.",3
"906","1/04/2017","Common Assault","Avondale.",2578600,"Christchurch City.",3
"907","1/04/2017","Common Assault","Cathedral Square.",2651000,"Christchurch City.",3
"908","1/04/2017","Common Assault","Alicetown.",1923800,"Lower Hutt City.",3
"909","1/04/2017","Common Assault","Willis Street-Cambridge Terrace.",2135700,"Wellington City.",3
"910","1/04/2017","Common Assault","Auckland Central West.",435604,"Auckland.",3
"911","1/04/2017","Common Assault","Hamilton Central.",910700,"Hamilton City.",3
"912","1/04/2017","Common Assault","Westgate.",224306,"Auckland.",3
"913","1/04/2017","Common Assault","Eden Terrace.",420600,"Auckland.",3
"914","1/04/2017","Common Assault","Te Maunga.",1202406,"Tauranga City.",3
"915","1/04/2017","Common Assault","Balclutha.",2993100,"Clutha District.",3
"916","1/04/2017","Common Assault","Alexandra.",3024400,"Central Otago District.",3
"917","1/04/2017","Common Assault","South Brighton.",2555702,"Christchurch City.",3
"918","1/04/2017","Common Assault","Melville.",929300,"Hamilton City.",3
"919","1/04/2017","Common Assault","Te Kainga.",2092700,"Wellington City.",3
"920","1/04/2017","Common Assault","Kawerau.",1315900,"Kawerau District.",3
"921","1/04/2017","Common Assault","Cathedral Square.",2652000,"Christchurch City.",3
"922","1/04/2017","Common Assault","Wade Heads.",174011,"Auckland.",3
"923","1/04/2017","Common Assault","Peachgrove.",894300,"Hamilton City.",3
"924","1/04/2017","Common Assault","Crinan.",3112000,"Invercargill City.",3
"925","1/04/2017","Common Assault","Blenheim Central.",2300200,"Marlborough District.",3
"926","1/04/2017","Common Assault","Avon Loop.",2654102,"Christchurch City.",3
"927","1/04/2017","Common Assault","Whangamoa.",2361001,"Nelson City.",3
"928","1/04/2017","Common Assault","Harania West.",734400,"Auckland.",3
"929","1/04/2017","Common Assault","Westlake.",304300,"Auckland.",3
"930","1/04/2017","Common Assault","Taipa Bay-Mangonui.",4208,"Far North District.",3
"931","1/04/2017","Common Assault","Pakipaki.",1463700,"Hastings District.",3
"932","1/04/2017","Common Assault","Feilding East.",1764400,"Manawatu District.",3
"933","1/04/2017","Common Assault","Hawera North.",1648600,"South Taranaki District.",3
"934","1/04/2017","Common Assault","Gonville West.",1717300,"Wanganui District.",3
"935","1/04/2017","Common Assault","Mangere Bridge.",722400,"Auckland.",3
"936","1/04/2017","Common Assault","Lynnmall.",265100,"Auckland.",3
"937","1/04/2017","Common Assault","Playford Park.",1867200,"Horowhenua District.",3
"938","1/04/2017","Common Assault","Williams Domain.",1691700,"Wanganui District.",3
