"","X","ANZSOC.Group","Alert.Level","date","Area.Unit","Meshblock","Territorial.Authority","District","Calls.for.Service.and.Prevention","Crime.and.NonCrime.Demand","Event.Category","No"
"2068",1777,"Common Assault",4,"1/03/2017","Auckland Harbourside.",438209,"Auckland.",NA,NA,NA,NA,NA
"2069",1778,"Common Assault",4,"1/03/2017","Cooks Gardens.",1699400,"Wanganui District.",NA,NA,NA,NA,NA
"2070",1779,"Common Assault",4,"1/03/2017","Palmerston North Central.",1829600,"Palmerston North City.",NA,NA,NA,NA,NA
"2071",1780,"Common Assault",4,"1/03/2017","Whitianga.",1047101,"Thames-Coromandel District.",NA,NA,NA,NA,NA
"2072",1781,"Common Assault",4,"1/03/2017","Newton.",412000,"Auckland.",NA,NA,NA,NA,NA
"2073",1782,"Common Assault",4,"1/03/2017","Willis Street-Cambridge Terrace.",2135900,"Wellington City.",NA,NA,NA,NA,NA
"2074",1783,"Common Assault",4,"1/03/2017","Leabank.",771700,"Auckland.",NA,NA,NA,NA,NA
"2075",1784,"Common Assault",4,"1/03/2017","Palmerston North Central.",1829400,"Palmerston North City.",NA,NA,NA,NA,NA
"2076",1785,"Common Assault",4,"1/03/2017","Mangere Station.",749900,"Auckland.",NA,NA,NA,NA,NA
"2077",1786,"Common Assault",4,"1/03/2017","Otakaro Park.",3106200,"Invercargill City.",NA,NA,NA,NA,NA
"2078",1787,"Common Assault",4,"1/03/2017","Taupo Central.",1273300,"Taupo District.",NA,NA,NA,NA,NA
"2079",1788,"Common Assault",4,"1/03/2017","Auckland Harbourside.",437903,"Auckland.",NA,NA,NA,NA,NA
"2080",1789,"Common Assault",4,"1/03/2017","Lambton.",2130100,"Wellington City.",NA,NA,NA,NA,NA
"2081",1790,"Common Assault",4,"1/03/2017","Washdyke.",2774202,"Timaru District.",NA,NA,NA,NA,NA
"2082",1791,"Common Assault",4,"1/03/2017","Redoubt South.",760801,"Auckland.",NA,NA,NA,NA,NA
"2083",1792,"Common Assault",4,"1/03/2017","Hamilton Central.",911102,"Hamilton City.",NA,NA,NA,NA,NA
"2084",1793,"Common Assault",4,"1/03/2017","Kaikoura Township.",2311700,"Kaikoura District.",NA,NA,NA,NA,NA
"2085",1794,"Common Assault",4,"1/03/2017","Willis Street-Cambridge Terrace.",2135700,"Wellington City.",NA,NA,NA,NA,NA
"2086",1795,"Common Assault",4,"1/03/2017","Greenhithe.",181800,"Auckland.",NA,NA,NA,NA,NA
"2087",1796,"Common Assault",4,"1/03/2017","Grey Lynn East.",404700,"Auckland.",NA,NA,NA,NA,NA
"2088",1797,"Common Assault",4,"1/03/2017","Otago University.",2869000,"Dunedin City.",NA,NA,NA,NA,NA
"2089",1798,"Common Assault",4,"1/03/2017","999999",-153,"Hamilton City.",NA,NA,NA,NA,NA
"2090",1799,"Common Assault",4,"1/03/2017","Beaumont.",752802,"Auckland.",NA,NA,NA,NA,NA
"2091",1800,"Common Assault",4,"1/03/2017","Tamaki.",630700,"Auckland.",NA,NA,NA,NA,NA
"2092",1801,"Common Assault",4,"1/03/2017","Auckland Harbourside.",433005,"Auckland.",NA,NA,NA,NA,NA
"2093",1802,"Common Assault",4,"1/03/2017","Hamilton East.",893100,"Hamilton City.",NA,NA,NA,NA,NA
"2094",1803,"Common Assault",4,"1/03/2017","Richmond West.",2364900,"Tasman District.",NA,NA,NA,NA,NA
"2095",1804,"Common Assault",4,"1/03/2017","Kaiti South.",1387500,"Gisborne District.",NA,NA,NA,NA,NA
"2096",1805,"Common Assault",4,"1/03/2017","Cooks Gardens.",1699300,"Wanganui District.",NA,NA,NA,NA,NA
"2097",1806,"Common Assault",4,"1/03/2017","Homedale West.",2020300,"Lower Hutt City.",NA,NA,NA,NA,NA
"2098",1807,"Common Assault",4,"1/03/2017","Mt Eden North.",542700,"Auckland.",NA,NA,NA,NA,NA
"2099",1808,"Common Assault",4,"1/03/2017","Tauhara.",1270501,"Taupo District.",NA,NA,NA,NA,NA
"2100",1809,"Common Assault",4,"1/03/2017","Auckland Harbourside.",438103,"Auckland.",NA,NA,NA,NA,NA
"2101",1810,"Common Assault",4,"1/03/2017","Cathedral Square.",2649200,"Christchurch City.",NA,NA,NA,NA,NA
"2102",1811,"Common Assault",4,"1/03/2017","Britannia.",2326101,"Nelson City.",NA,NA,NA,NA,NA
"2103",1812,"Common Assault",4,"1/03/2017","Papamoa Beach East.",1204705,"Tauranga City.",NA,NA,NA,NA,NA
"2104",1813,"Common Assault",4,"1/03/2017","Randwick Park.",759728,"Auckland.",NA,NA,NA,NA,NA
"2105",1814,"Common Assault",4,"1/03/2017","Cooks Gardens.",1698500,"Wanganui District.",NA,NA,NA,NA,NA
"2106",1815,"Common Assault",4,"1/03/2017","Grey Lynn East.",409200,"Auckland.",NA,NA,NA,NA,NA
"2107",1816,"Common Assault",4,"1/03/2017","Hamilton Central.",912400,"Hamilton City.",NA,NA,NA,NA,NA
"2108",1817,"Common Assault",4,"1/03/2017","Willis Street-Cambridge Terrace.",2135600,"Wellington City.",NA,NA,NA,NA,NA
"2109",1818,"Common Assault",4,"1/03/2017","Auckland Central West.",435500,"Auckland.",NA,NA,NA,NA,NA
"2110",1819,"Common Assault",4,"1/03/2017","Mangere South.",727000,"Auckland.",NA,NA,NA,NA,NA
"2111",1820,"Common Assault",4,"1/03/2017","Te Mata.",1509600,"Hastings District.",NA,NA,NA,NA,NA
"2112",1821,"Common Assault",4,"1/03/2017","Willis Street-Cambridge Terrace.",2135700,"Wellington City.",NA,NA,NA,NA,NA
"2113",1822,"Common Assault",4,"1/03/2017","Kingdale.",230500,"Auckland.",NA,NA,NA,NA,NA
"2114",1823,"Common Assault",4,"1/03/2017","Hamilton Central.",909302,"Hamilton City.",NA,NA,NA,NA,NA
"2115",1824,"Common Assault",4,"1/03/2017","Outer Kaiti.",1383200,"Gisborne District.",NA,NA,NA,NA,NA
"2116",1825,"Common Assault",4,"1/03/2017","Howick South.",710522,"Auckland.",NA,NA,NA,NA,NA
"2117",1826,"Common Assault",4,"1/03/2017","Thorndon-Tinakori Road.",2122700,"Wellington City.",NA,NA,NA,NA,NA
"2118",1827,"Common Assault",4,"1/03/2017","Browns Bay.",161100,"Auckland.",NA,NA,NA,NA,NA
"2119",1828,"Common Assault",4,"1/03/2017","Kaikoura Rural.",2315200,"Kaikoura District.",NA,NA,NA,NA,NA
"2120",1829,"Common Assault",4,"1/03/2017","Epuni West.",1945300,"Lower Hutt City.",NA,NA,NA,NA,NA
"2121",1830,"Common Assault",4,"1/03/2017","Cathedral Square.",2651300,"Christchurch City.",NA,NA,NA,NA,NA
"2122",1831,"Common Assault",4,"1/03/2017","Greerton.",1177500,"Tauranga City.",NA,NA,NA,NA,NA
"2123",1832,"Common Assault",4,"1/03/2017","Sockburn.",2478100,"Christchurch City.",NA,NA,NA,NA,NA
"2124",1833,"Common Assault",4,"1/03/2017","Beaumont.",754100,"Auckland.",NA,NA,NA,NA,NA
"2125",1834,"Common Assault",4,"1/03/2017","Kaitaia West.",15600,"Far North District.",NA,NA,NA,NA,NA
"2126",1835,"Common Assault",4,"1/03/2017","Henderson North.",239105,"Auckland.",NA,NA,NA,NA,NA
"2127",1836,"Common Assault",4,"1/03/2017","Mission Bay.",500600,"Auckland.",NA,NA,NA,NA,NA
"2128",1837,"Common Assault",4,"1/03/2017","Papaeoia.",1834800,"Palmerston North City.",NA,NA,NA,NA,NA
"2129",1838,"Common Assault",4,"1/03/2017","Styx.",2503102,"Christchurch City.",NA,NA,NA,NA,NA
"2130",1839,"Common Assault",4,"1/03/2017","Whangarei Central.",100300,"Whangarei District.",NA,NA,NA,NA,NA
"2131",1840,"Common Assault",4,"1/03/2017","Glenfield North.",196600,"Auckland.",NA,NA,NA,NA,NA
"2132",1841,"Common Assault",4,"1/03/2017","Clendon South.",774439,"Auckland.",NA,NA,NA,NA,NA
"2133",1842,"Common Assault",4,"1/03/2017","Stuart St-Frederick St.",2901900,"Dunedin City.",NA,NA,NA,NA,NA
"2134",1843,"Common Assault",4,"1/03/2017","Wingatui.",2978700,"Dunedin City.",NA,NA,NA,NA,NA
"2135",1844,"Common Assault",4,"1/03/2017","Kaikohe.",41000,"Far North District.",NA,NA,NA,NA,NA
"2136",1845,"Common Assault",4,"1/03/2017","Otahuhu East.",789901,"Auckland.",NA,NA,NA,NA,NA
"2137",1846,"Common Assault",4,"1/03/2017","Auckland Central East.",436600,"Auckland.",NA,NA,NA,NA,NA
"2138",1847,"Common Assault",4,"1/03/2017","Feilding North.",1769700,"Manawatu District.",NA,NA,NA,NA,NA
"2139",1848,"Common Assault",4,"1/03/2017","Orewa.",171811,"Auckland.",NA,NA,NA,NA,NA
"2140",1849,"Common Assault",4,"1/03/2017","Utuhina.",1227500,"Rotorua District.",NA,NA,NA,NA,NA
"2141",1850,"Common Assault",4,"1/03/2017","Bledisloe Park.",823000,"Auckland.",NA,NA,NA,NA,NA
"2142",1851,"Common Assault",4,"1/03/2017","Bridge Pa.",1470213,"Hastings District.",NA,NA,NA,NA,NA
"2143",1852,"Common Assault",4,"1/03/2017","Kuirau.",1235100,"Rotorua District.",NA,NA,NA,NA,NA
"2144",1853,"Common Assault",4,"1/03/2017","Mclean Park.",1433400,"Napier City.",NA,NA,NA,NA,NA
"2145",1854,"Common Assault",4,"1/03/2017","Thorndon-Tinakori Road.",2120800,"Wellington City.",NA,NA,NA,NA,NA
"2146",1855,"Common Assault",4,"1/03/2017","Manurewa Central.",751500,"Auckland.",NA,NA,NA,NA,NA
"2147",1856,"Common Assault",4,"1/03/2017","Pinehill.",180712,"Auckland.",NA,NA,NA,NA,NA
"2148",1857,"Common Assault",4,"1/03/2017","Mascot.",737500,"Auckland.",NA,NA,NA,NA,NA
"2149",1858,"Common Assault",4,"1/03/2017","Te Aroha.",1101900,"Matamata-Piako District.",NA,NA,NA,NA,NA
"2150",1859,"Common Assault",4,"1/03/2017","Raureka.",1480900,"Hastings District.",NA,NA,NA,NA,NA
"2151",1860,"Common Assault",4,"1/03/2017","Westown.",1574900,"New Plymouth District.",NA,NA,NA,NA,NA
"2152",1861,"Common Assault",4,"1/03/2017","Albany.",178900,"Auckland.",NA,NA,NA,NA,NA
"2153",1862,"Common Assault",4,"1/03/2017","Roberton.",382200,"Auckland.",NA,NA,NA,NA,NA
"2154",1863,"Common Assault",4,"1/03/2017","Paekakariki Hill.",2072102,"Porirua City.",NA,NA,NA,NA,NA
"2155",1864,"Common Assault",4,"1/03/2017","Manurewa Central.",750700,"Auckland.",NA,NA,NA,NA,NA
"2156",1865,"Common Assault",4,"1/03/2017","Hamilton Central.",911102,"Hamilton City.",NA,NA,NA,NA,NA
"2157",1866,"Common Assault",4,"1/03/2017","Appleby-Kew.",3112600,"Invercargill City.",NA,NA,NA,NA,NA
"2158",1867,"Common Assault",4,"1/03/2017","Ohinemuri.",1082706,"Hauraki District.",NA,NA,NA,NA,NA
"2159",1868,"Common Assault",4,"1/03/2017","New Plymouth Central.",1593100,"New Plymouth District.",NA,NA,NA,NA,NA
"2160",1869,"Common Assault",4,"1/03/2017","Camberley.",1478700,"Hastings District.",NA,NA,NA,NA,NA
"2161",1870,"Common Assault",4,"1/03/2017","Manukau Central.",780204,"Auckland.",NA,NA,NA,NA,NA
"2162",1871,"Common Assault",4,"1/03/2017","Clendon South.",774434,"Auckland.",NA,NA,NA,NA,NA
"2163",1872,"Common Assault",4,"1/03/2017","Cathedral Square.",2647800,"Christchurch City.",NA,NA,NA,NA,NA
"2164",1873,"Common Assault",4,"1/03/2017","Newfield-Rockdale.",3140200,"Invercargill City.",NA,NA,NA,NA,NA
"2165",1874,"Common Assault",4,"1/03/2017","Willis Street-Cambridge Terrace.",2133200,"Wellington City.",NA,NA,NA,NA,NA
"2166",1875,"Common Assault",4,"1/03/2017","High St-Stuart St.",2899500,"Dunedin City.",NA,NA,NA,NA,NA
"2167",1876,"Common Assault",4,"1/03/2017","Auckland Central East.",437102,"Auckland.",NA,NA,NA,NA,NA
"2168",1877,"Common Assault",4,"1/03/2017","Allenton East.",2735900,"Ashburton District.",NA,NA,NA,NA,NA
"2169",1878,"Common Assault",4,"1/03/2017","Auckland Central West.",433801,"Auckland.",NA,NA,NA,NA,NA
"2170",1879,"Common Assault",4,"1/03/2017","Lynnmall.",266000,"Auckland.",NA,NA,NA,NA,NA
"2171",1880,"Common Assault",4,"1/03/2017","Hillcrest.",1238400,"Rotorua District.",NA,NA,NA,NA,NA
"2172",1881,"Common Assault",4,"1/03/2017","Auckland Central East.",437701,"Auckland.",NA,NA,NA,NA,NA
"2173",1882,"Common Assault",4,"1/03/2017","Huntington.",952201,"Hamilton City.",NA,NA,NA,NA,NA
"2174",1883,"Common Assault",4,"1/03/2017","Mt Eden North.",542700,"Auckland.",NA,NA,NA,NA,NA
"2175",1884,"Common Assault",4,"1/03/2017","Westport Urban.",2394400,"Buller District.",NA,NA,NA,NA,NA
"2176",1885,"Common Assault",4,"1/03/2017","Auckland Central West.",434200,"Auckland.",NA,NA,NA,NA,NA
"2177",1886,"Common Assault",4,"1/03/2017","Porirua Central.",2052600,"Porirua City.",NA,NA,NA,NA,NA
"2178",1887,"Common Assault",4,"1/03/2017","Paparua.",2494600,"Christchurch City.",NA,NA,NA,NA,NA
"2179",1888,"Common Assault",4,"1/03/2017","Paraparaumu Central.",2003709,"Kapiti Coast District.",NA,NA,NA,NA,NA
"2180",1889,"Common Assault",4,"1/03/2017","Kamo East.",84900,"Whangarei District.",NA,NA,NA,NA,NA
"2181",1890,"Common Assault",4,"1/03/2017","Orewa.",171811,"Auckland.",NA,NA,NA,NA,NA
"2182",1891,"Common Assault",4,"1/03/2017","Phillipstown.",2605100,"Christchurch City.",NA,NA,NA,NA,NA
"2183",1892,"Common Assault",4,"1/03/2017","Clarkin.",871300,"Hamilton City.",NA,NA,NA,NA,NA
"2184",1893,"Common Assault",4,"1/03/2017","Manukau Central.",780302,"Auckland.",NA,NA,NA,NA,NA
"2185",1894,"Common Assault",4,"1/03/2017","Porritt.",875000,"Hamilton City.",NA,NA,NA,NA,NA
"2186",1895,"Common Assault",4,"1/03/2017","Levin West.",1870100,"Horowhenua District.",NA,NA,NA,NA,NA
"2187",1896,"Common Assault",4,"1/03/2017","Pukekohe North.",819100,"Auckland.",NA,NA,NA,NA,NA
"2188",1897,"Common Assault",4,"1/03/2017","Ashburton Central East.",2728100,"Ashburton District.",NA,NA,NA,NA,NA
"2189",1898,"Common Assault",4,"1/03/2017","Morrinsville East.",1086500,"Matamata-Piako District.",NA,NA,NA,NA,NA
"2190",1899,"Common Assault",4,"1/03/2017","Taumarunui Central.",1035000,"Ruapehu District.",NA,NA,NA,NA,NA
"2191",1900,"Common Assault",4,"1/03/2017","Tamarau.",1385300,"Gisborne District.",NA,NA,NA,NA,NA
"2192",1901,"Common Assault",4,"1/03/2017","Hamilton Central.",911800,"Hamilton City.",NA,NA,NA,NA,NA
"2193",1902,"Common Assault",4,"1/03/2017","Gonville East.",1723100,"Wanganui District.",NA,NA,NA,NA,NA
"2194",1903,"Common Assault",4,"1/03/2017","Mangere Bridge.",722100,"Auckland.",NA,NA,NA,NA,NA
"2195",1904,"Common Assault",4,"1/03/2017","Pahiatua.",2217900,"Tararua District.",NA,NA,NA,NA,NA
"2196",1905,"Common Assault",4,"1/03/2017","Strathern.",3148300,"Invercargill City.",NA,NA,NA,NA,NA
"2197",1906,"Common Assault",4,"1/03/2017","Auckland Central East.",437102,"Auckland.",NA,NA,NA,NA,NA
"2198",1907,"Common Assault",4,"1/03/2017","Point England.",477900,"Auckland.",NA,NA,NA,NA,NA
"2199",1908,"Common Assault",4,"1/03/2017","Burwood.",2602500,"Christchurch City.",NA,NA,NA,NA,NA
"2200",1909,"Common Assault",4,"1/03/2017","Milton.",2989900,"Clutha District.",NA,NA,NA,NA,NA
"2201",1910,"Common Assault",4,"1/03/2017","Parkside.",2799700,"Timaru District.",NA,NA,NA,NA,NA
"2202",1911,"Common Assault",4,"1/03/2017","Motueka East.",2378102,"Tasman District.",NA,NA,NA,NA,NA
"2203",1912,"Common Assault",4,"1/03/2017","Opiki.",1853400,"Horowhenua District.",NA,NA,NA,NA,NA
"2204",1913,"Common Assault",4,"1/03/2017","Auckland Central East.",436300,"Auckland.",NA,NA,NA,NA,NA
"2205",1914,"Common Assault",4,"1/03/2017","Willis Street-Cambridge Terrace.",2135700,"Wellington City.",NA,NA,NA,NA,NA
"2206",1915,"Common Assault",4,"1/03/2017","Waitara East.",1549700,"New Plymouth District.",NA,NA,NA,NA,NA
"2207",1916,"Common Assault",4,"1/03/2017","Willis Street-Cambridge Terrace.",2131500,"Wellington City.",NA,NA,NA,NA,NA
"2208",1917,"Common Assault",4,"1/03/2017","Kawerau.",1316900,"Kawerau District.",NA,NA,NA,NA,NA
"2209",1918,"Common Assault",4,"1/03/2017","Leabank.",772601,"Auckland.",NA,NA,NA,NA,NA
"2210",1919,"Common Assault",4,"1/03/2017","Chartwell.",868300,"Hamilton City.",NA,NA,NA,NA,NA
"2211",1920,"Common Assault",4,"1/03/2017","Heretaunga.",1903000,"Upper Hutt City.",NA,NA,NA,NA,NA
"2212",1921,"Common Assault",4,"1/03/2017","Boulcott.",1940900,"Lower Hutt City.",NA,NA,NA,NA,NA
"2213",1922,"Common Assault",4,"1/03/2017","Glenavon.",381102,"Auckland.",NA,NA,NA,NA,NA
"2214",1923,"Common Assault",4,"1/03/2017","Motueka West.",2378900,"Tasman District.",NA,NA,NA,NA,NA
"2215",1924,"Common Assault",4,"1/03/2017","Hope.",2358600,"Tasman District.",NA,NA,NA,NA,NA
"2216",1925,"Common Assault",4,"1/03/2017","Hornby South.",2489807,"Christchurch City.",NA,NA,NA,NA,NA
"2217",1926,"Common Assault",4,"1/03/2017","Playford Park.",1868500,"Horowhenua District.",NA,NA,NA,NA,NA
"2218",1927,"Common Assault",4,"1/03/2017","Oamaru North.",2848700,"Waitaki District.",NA,NA,NA,NA,NA
"2219",1928,"Common Assault",4,"1/03/2017","Mangere Station.",749500,"Auckland.",NA,NA,NA,NA,NA
"2220",1929,"Common Assault",4,"1/03/2017","Mangere South.",727200,"Auckland.",NA,NA,NA,NA,NA
"2221",1930,"Common Assault",4,"1/03/2017","Nireaha-Tiraumea.",2228900,"Tararua District.",NA,NA,NA,NA,NA
"2222",1931,"Common Assault",4,"1/03/2017","Palmerston North Central.",1828900,"Palmerston North City.",NA,NA,NA,NA,NA
"2223",1932,"Common Assault",4,"1/03/2017","Kingsland.",531200,"Auckland.",NA,NA,NA,NA,NA
"2224",1933,"Common Assault",4,"1/03/2017","Middleton.",2538603,"Christchurch City.",NA,NA,NA,NA,NA
"2225",1934,"Common Assault",4,"1/03/2017","Epuni West.",1945300,"Lower Hutt City.",NA,NA,NA,NA,NA
"2226",1935,"Common Assault",4,"1/03/2017","Mission Bay.",501102,"Auckland.",NA,NA,NA,NA,NA
"2227",1936,"Common Assault",4,"1/03/2017","Roberton.",383600,"Auckland.",NA,NA,NA,NA,NA
"2228",1937,"Common Assault",4,"1/03/2017","Dargaville.",116500,"Kaipara District.",NA,NA,NA,NA,NA
"2229",1938,"Common Assault",4,"1/03/2017","Sandringham West.",542300,"Auckland.",NA,NA,NA,NA,NA
"2230",1939,"Common Assault",4,"1/03/2017","Fordlands.",1228300,"Rotorua District.",NA,NA,NA,NA,NA
"2231",1940,"Common Assault",4,"1/03/2017","Lambton.",2126000,"Wellington City.",NA,NA,NA,NA,NA
"2232",1941,"Common Assault",4,"1/03/2017","Drury.",808701,"Auckland.",NA,NA,NA,NA,NA
"2233",1942,"Common Assault",4,"1/03/2017","Willis Street-Cambridge Terrace.",2131300,"Wellington City.",NA,NA,NA,NA,NA
"2234",1943,"Common Assault",4,"1/03/2017","Roslyn.",1840900,"Palmerston North City.",NA,NA,NA,NA,NA
"2235",1944,"Common Assault",4,"1/03/2017","Puhinui South.",671700,"Auckland.",NA,NA,NA,NA,NA
"2236",1945,"Common Assault",3,"1/04/2018","Auckland Central East.",437500,"Auckland.",NA,NA,NA,NA,NA
"2237",1946,"Common Assault",3,"1/04/2018","Willis Street-Cambridge Terrace.",2135900,"Wellington City.",NA,NA,NA,NA,NA
"2238",1947,"Common Assault",3,"1/04/2018","Kingsland.",529400,"Auckland.",NA,NA,NA,NA,NA
"2239",1948,"Common Assault",3,"1/04/2018","Wanganui Collegiate.",1721900,"Wanganui District.",NA,NA,NA,NA,NA
"2240",1949,"Common Assault",3,"1/04/2018","Hamlin.",641700,"Auckland.",NA,NA,NA,NA,NA
"2241",1950,"Common Assault",3,"1/04/2018","Nawton.",905600,"Hamilton City.",NA,NA,NA,NA,NA
"2242",1951,"Common Assault",3,"1/04/2018","Maungaturoto.",131900,"Kaipara District.",NA,NA,NA,NA,NA
"2243",1952,"Common Assault",3,"1/04/2018","Auckland Central East.",436700,"Auckland.",NA,NA,NA,NA,NA
"2244",1953,"Common Assault",3,"1/04/2018","Gisborne Central.",1372600,"Gisborne District.",NA,NA,NA,NA,NA
"2245",1954,"Common Assault",3,"1/04/2018","St Leonards.",1486700,"Hastings District.",NA,NA,NA,NA,NA
"2246",1955,"Common Assault",3,"1/04/2018","Heidelberg.",3146600,"Invercargill City.",NA,NA,NA,NA,NA
"2247",1956,"Common Assault",3,"1/04/2018","Cromwell.",3030201,"Central Otago District.",NA,NA,NA,NA,NA
"2248",1957,"Common Assault",3,"1/04/2018","Nelson Airport.",2335704,"Nelson City.",NA,NA,NA,NA,NA
"2249",1958,"Common Assault",3,"1/04/2018","Auckland Central West.",435500,"Auckland.",NA,NA,NA,NA,NA
"2250",1959,"Common Assault",3,"1/04/2018","Rangiuru.",1209700,"Western Bay of Plenty District.",NA,NA,NA,NA,NA
"2251",1960,"Common Assault",3,"1/04/2018","Drury.",808501,"Auckland.",NA,NA,NA,NA,NA
"2252",1961,"Common Assault",3,"1/04/2018","Tauranga Hospital.",1168001,"Tauranga City.",NA,NA,NA,NA,NA
"2253",1962,"Common Assault",3,"1/04/2018","Tauhara.",1271500,"Taupo District.",NA,NA,NA,NA,NA
"2254",1963,"Common Assault",3,"1/04/2018","Wanganui Central.",1701200,"Wanganui District.",NA,NA,NA,NA,NA
"2255",1964,"Common Assault",3,"1/04/2018","Papakura Central.",793100,"Auckland.",NA,NA,NA,NA,NA
"2256",1965,"Common Assault",3,"1/04/2018","Kohuora.",746318,"Auckland.",NA,NA,NA,NA,NA
"2257",1966,"Common Assault",3,"1/04/2018","Waikowhai East.",589802,"Auckland.",NA,NA,NA,NA,NA
"2258",1967,"Common Assault",3,"1/04/2018","Frankton.",3038303,"Queenstown-Lakes District.",NA,NA,NA,NA,NA
"2259",1968,"Common Assault",3,"1/04/2018","Onekawa South.",1442600,"Napier City.",NA,NA,NA,NA,NA
"2260",1969,"Common Assault",3,"1/04/2018","Leithfield.",2440600,"Hurunui District.",NA,NA,NA,NA,NA
"2261",1970,"Common Assault",3,"1/04/2018","Oratia.",278502,"Auckland.",NA,NA,NA,NA,NA
"2262",1971,"Common Assault",3,"1/04/2018","Poike.",1178002,"Tauranga City.",NA,NA,NA,NA,NA
"2263",1972,"Common Assault",3,"1/04/2018","Palmerston North Hospital.",1834100,"Palmerston North City.",NA,NA,NA,NA,NA
"2264",1973,"Common Assault",3,"1/04/2018","Stuart St-Frederick St.",2903300,"Dunedin City.",NA,NA,NA,NA,NA
"2265",1974,"Common Assault",3,"1/04/2018","Rapaki Track.",2553703,"Christchurch City.",NA,NA,NA,NA,NA
"2266",1975,"Common Assault",3,"1/04/2018","Kuirau.",1232000,"Rotorua District.",NA,NA,NA,NA,NA
"2267",1976,"Common Assault",3,"1/04/2018","Pakowhai.",1404300,"Hastings District.",NA,NA,NA,NA,NA
"2268",1977,"Common Assault",3,"1/04/2018","Marton.",1736800,"Rangitikei District.",NA,NA,NA,NA,NA
"2269",1978,"Common Assault",3,"1/04/2018","Lake Hayes South.",3039712,"Queenstown-Lakes District.",NA,NA,NA,NA,NA
"2270",1979,"Common Assault",3,"1/04/2018","Fairdene.",231001,"Auckland.",NA,NA,NA,NA,NA
"2271",1980,"Common Assault",3,"1/04/2018","Riverlands.",2292102,"Marlborough District.",NA,NA,NA,NA,NA
"2272",1981,"Common Assault",3,"1/04/2018","Te Kauwhata.",938500,"Waikato District.",NA,NA,NA,NA,NA
"2273",1982,"Common Assault",3,"1/04/2018","Hamilton Lake.",930102,"Hamilton City.",NA,NA,NA,NA,NA
"2274",1983,"Common Assault",3,"1/04/2018","Greymouth Central.",2405900,"Grey District.",NA,NA,NA,NA,NA
"2275",1984,"Common Assault",3,"1/04/2018","Highbury.",1818800,"Palmerston North City.",NA,NA,NA,NA,NA
"2276",1985,"Common Assault",3,"1/04/2018","Papatoetoe Central.",665602,"Auckland.",NA,NA,NA,NA,NA
"2277",1986,"Common Assault",3,"1/04/2018","Blenheim Central.",2299400,"Marlborough District.",NA,NA,NA,NA,NA
"2278",1987,"Common Assault",3,"1/04/2018","Linden.",1994704,"Wellington City.",NA,NA,NA,NA,NA
"2279",1988,"Common Assault",3,"1/04/2018","Redwood South.",2509100,"Christchurch City.",NA,NA,NA,NA,NA
"2280",1989,"Common Assault",3,"1/04/2018","Waiwhero.",1264202,"Rotorua District.",NA,NA,NA,NA,NA
"2281",1990,"Common Assault",3,"1/04/2018","Wiri.",780407,"Auckland.",NA,NA,NA,NA,NA
"2282",1991,"Common Assault",3,"1/04/2018","Nelson Park.",1430200,"Napier City.",NA,NA,NA,NA,NA
"2283",1992,"Common Assault",3,"1/04/2018","Ponsonby East.",429500,"Auckland.",NA,NA,NA,NA,NA
"2284",1993,"Common Assault",3,"1/04/2018","Ngongotaha North.",1248500,"Rotorua District.",NA,NA,NA,NA,NA
"2285",1994,"Common Assault",3,"1/04/2018","Wiri.",780506,"Auckland.",NA,NA,NA,NA,NA
"2286",1995,"Common Assault",3,"1/04/2018","Willis Street-Cambridge Terrace.",2135900,"Wellington City.",NA,NA,NA,NA,NA
"2287",1996,"Aggravated Sexual Assault",3,"1/04/2018","999999",-80,"Auckland.",NA,NA,NA,NA,NA
"2288",1997,"Aggravated Sexual Assault",3,"1/04/2018","Pirimai.",1449100,"Napier City.",NA,NA,NA,NA,NA
"2289",1998,"Non-Aggravated Sexual Assault",3,"1/04/2018","Papakura Central.",793400,"Auckland.",NA,NA,NA,NA,NA
"2290",1999,"Non-Aggravated Sexual Assault",3,"1/04/2018","Rototuna.",951910,"Hamilton City.",NA,NA,NA,NA,NA
"2291",2000,"Aggravated Sexual Assault",3,"1/04/2018","Bader.",922400,"Hamilton City.",NA,NA,NA,NA,NA
"2292",2001,"Aggravated Sexual Assault",3,"1/04/2018","Poukawa.",1463900,"Hastings District.",NA,NA,NA,NA,NA
"2293",2002,"Non-Aggravated Sexual Assault",3,"1/04/2018","Lambton.",2129700,"Wellington City.",NA,NA,NA,NA,NA
"2294",2003,"Non-Aggravated Sexual Assault",3,"1/04/2018","Gonville South.",1726500,"Wanganui District.",NA,NA,NA,NA,NA
"2295",2004,"Aggravated Sexual Assault",3,"1/04/2018","Waiuku East.",834800,"Auckland.",NA,NA,NA,NA,NA
"2296",2005,"Aggravated Sexual Assault",3,"1/04/2018","Waihao.",2823300,"Waimate District.",NA,NA,NA,NA,NA
"2297",2006,"Aggravated Sexual Assault",3,"1/04/2018","Kelson.",1917200,"Lower Hutt City.",NA,NA,NA,NA,NA
"2298",2007,"Non-Aggravated Sexual Assault",3,"1/04/2018","Mcleans Island.",2494300,"Christchurch City.",NA,NA,NA,NA,NA
"2299",2008,"Aggravated Sexual Assault",3,"1/04/2018","Grenada North.",2053703,"Wellington City.",NA,NA,NA,NA,NA
"2300",2009,"Aggravated Sexual Assault",3,"1/04/2018","Viscount.",737901,"Auckland.",NA,NA,NA,NA,NA
