"","X","ANZSOC.Group","Alert.Level","date","Area.Unit","Meshblock","Territorial.Authority","District","Calls.for.Service.and.Prevention","Crime.and.NonCrime.Demand","Event.Category","No"
"153",81,"Common Assault",2,"1/05/2017","Parnell West.",454700,"Auckland.",NA,NA,NA,NA,NA
"154",82,"Common Assault",2,"1/05/2017","Willis Street-Cambridge Terrace.",2135600,"Wellington City.","Southern","Demand","Crime","Violence",3
"155",83,"Assault not further defined",2,NA,NA,NA,NA,"Southern","Demand","Crime","Violence",3
"156",83,"Common Assault",2,"1/05/2017","Rawhiti.",2560500,"Christchurch City.",NA,NA,NA,NA,NA
"157",84,"Assault not further defined",2,NA,NA,NA,NA,"Southern","Demand","Crime","Violence",1
"158",84,"Common Assault",2,"1/05/2017","Trident.",1310700,"Whakatane District.",NA,NA,NA,NA,NA
"159",85,"Aggravated Sexual Assault",2,NA,NA,NA,NA,"Tasman","Demand","Crime","Sexual",1
"160",85,"Common Assault",2,"1/05/2017","Hoon Hay South.",2635100,"Christchurch City.",NA,NA,NA,NA,NA
"161",86,"Assault not further defined",2,NA,NA,NA,NA,"Tasman","Demand","Crime","Violence",6
"162",86,"Common Assault",2,"1/05/2017","Auckland Central West.",435201,"Auckland.",NA,NA,NA,NA,NA
"163",87,"Common Assault",2,"1/05/2017","Hamilton Lake.",930102,"Hamilton City.","Tasman","Demand","Crime","Violence",6
"164",88,"Assault not further defined",2,NA,NA,NA,NA,"Tasman","Demand","Crime","Violence",4
"165",88,"Common Assault",2,"1/05/2017","Redoubt South.",759903,"Auckland.",NA,NA,NA,NA,NA
"166",89,"Common Assault",2,"1/05/2017","Omaka.",2288100,"Marlborough District.",NA,NA,NA,NA,NA
"167",89,"Non-Aggravated Sexual Assault",2,NA,NA,NA,NA,"Waikato","Demand","Crime","Sexual",2
"168",90,"Common Assault",2,"1/05/2017","Cathedral Square.",2648200,"Christchurch City.",NA,NA,NA,NA,NA
"169",90,"Non-Aggravated Sexual Assault",2,NA,NA,NA,NA,"Waikato","Demand","Crime","Sexual",2
"170",91,"Assault not further defined",2,NA,NA,NA,NA,"Waikato","Demand","Crime","Violence",23
"171",91,"Common Assault",2,"1/05/2017","Castlecliff North.",1682111,"Wanganui District.",NA,NA,NA,NA,NA
"172",92,"Common Assault",2,"1/05/2017","Crinan.",3109600,"Invercargill City.","Waikato","Demand","Crime","Violence",3
"173",93,"Assault not further defined",2,NA,NA,NA,NA,"Waikato","Demand","Crime","Violence",1
"174",93,"Common Assault",2,"1/05/2017","Hamilton Central.",912400,"Hamilton City.",NA,NA,NA,NA,NA
"175",94,"Assault not further defined",2,NA,NA,NA,NA,"Waikato","Demand","Crime","Violence",1
"176",94,"Common Assault",2,"1/05/2017","West Melton.",2493802,"Selwyn District.",NA,NA,NA,NA,NA
"177",95,"Common Assault",2,"1/05/2017","Hornby North.",2488300,"Christchurch City.","Waikato","Demand","Crime","Violence",1
"178",96,"Common Assault",2,"1/05/2017","Bronte.",2321700,"Nelson City.","Waikato","Demand","Crime","Violence",4
"179",97,"Assault not further defined",2,NA,NA,NA,NA,"Waikato","Demand","Crime","Violence",1
"180",97,"Common Assault",2,"1/05/2017","Spreydon.",2642500,"Christchurch City.",NA,NA,NA,NA,NA
"181",98,"Assault not further defined",2,NA,NA,NA,NA,"Waikato","Demand","Crime","Violence",1
"182",98,"Common Assault",2,"1/05/2017","Dargaville.",114202,"Kaipara District.",NA,NA,NA,NA,NA
"183",99,"Common Assault",2,"1/05/2017","Otaki.",1878900,"Kapiti Coast District.","Waikato","Demand","Crime","Violence",1
"184",100,"Aggravated Sexual Assault",2,NA,NA,NA,NA,"Waitemata","Demand","Crime","Sexual",1
"185",100,"Common Assault",2,"1/05/2017","Claudelands.",863600,"Hamilton City.",NA,NA,NA,NA,NA
"186",101,"Common Assault",2,"1/05/2017","Weymouth East.",774003,"Auckland.",NA,NA,NA,NA,NA
"187",101,"Non-Aggravated Sexual Assault",2,NA,NA,NA,NA,"Waitemata","Demand","Crime","Sexual",1
"188",102,"Assault not further defined",2,NA,NA,NA,NA,"Waitemata","Demand","Crime","Violence",2
"189",102,"Common Assault",2,"1/05/2017","Sandringham North.",536100,"Auckland.",NA,NA,NA,NA,NA
"190",103,"Common Assault",2,"1/05/2017","Ranzau.",2357400,"Tasman District.","Waitemata","Demand","Crime","Violence",2
"191",104,"Assault not further defined",2,NA,NA,NA,NA,"Waitemata","Demand","Crime","Violence",8
"192",104,"Common Assault",2,"1/05/2017","Tauranga Central.",1164300,"Tauranga City.",NA,NA,NA,NA,NA
"193",105,"Assault not further defined",2,NA,NA,NA,NA,"Waitemata","Demand","Crime","Violence",5
"194",105,"Common Assault",2,"1/05/2017","Merivale.",2673900,"Christchurch City.",NA,NA,NA,NA,NA
"195",106,"Common Assault",2,"1/05/2017","Morrinsville West.",1086400,"Matamata-Piako District.","Waitemata","Demand","Crime","Violence",4
"196",107,"Common Assault",2,"1/05/2017","Wharekaka.",1359100,"Gisborne District.","Waitemata","Demand","Crime","Violence",4
"197",108,"Assault not further defined",2,NA,NA,NA,NA,"Waitemata","Demand","Crime","Violence",3
"198",108,"Common Assault",2,"1/05/2017","Bledisloe Park.",823300,"Auckland.",NA,NA,NA,NA,NA
"199",109,"Common Assault",2,"1/05/2017","Roslyn.",1840000,"Palmerston North City.","Waitemata","Demand","Crime","Violence",3
"200",110,"Assault not further defined",2,NA,NA,NA,NA,"Waitemata","Demand","Crime","Violence",10
"201",110,"Common Assault",2,"1/05/2017","Avon Loop.",2653700,"Christchurch City.",NA,NA,NA,NA,NA
