"","District","date","Event.Type","Number of victims","Territorial.Authority","ANZSOC.Group"
"755",NA,"1/9/17",NA,19549,"Auckland.","Common Assault"
"756",NA,"1/9/17",NA,19554,"Christchurch City.","Common Assault"
"757",NA,"1/9/17",NA,19559,"Clutha District.","Common Assault"
"758",NA,"1/9/17",NA,19564,"Tararua District.","Common Assault"
"759",NA,"1/9/17",NA,19569,"Wellington City.","Common Assault"
"760",NA,"1/9/17",NA,19574,"Napier City.","Common Assault"
"761",NA,"1/9/17",NA,19576,"Wellington City.","Serious Assault Not Resulting in Injury"
"762",NA,"1/9/17",NA,19581,"Whakatane District.","Serious Assault Not Resulting in Injury"
"763",NA,"1/9/17",NA,19583,"Christchurch City.","Serious Assault Resulting in Injury"
"764",NA,"1/9/17",NA,19588,"Auckland.","Serious Assault Resulting in Injury"
"765",NA,"1/9/17",NA,19594,"Hastings District.","Common Assault"
"766",NA,"1/9/17",NA,19599,"Hamilton City.","Common Assault"
"767",NA,"1/9/17",NA,19604,"Otorohanga District.","Common Assault"
"768",NA,"1/9/17",NA,19609,"Auckland.","Common Assault"
"769",NA,"1/9/17",NA,19616,"Auckland.","Serious Assault Not Resulting in Injury"
"770",NA,"1/3/17",NA,20121,"Auckland.","Serious Assault Not Resulting in Injury"
"771",NA,"1/3/17",NA,20123,"Auckland.","Serious Assault Resulting in Injury"
"772",NA,"1/3/17",NA,20124,"Auckland.","Common Assault"
"773",NA,"1/3/17",NA,20134,"Buller District.","Common Assault"
"774",NA,"1/3/17",NA,20139,"Christchurch City.","Common Assault"
"775",NA,"1/3/17",NA,20141,"Grey District.","Serious Assault Not Resulting in Injury"
"776",NA,"1/3/17",NA,20143,"Rotorua District.","Serious Assault Resulting in Injury"
"777",NA,"1/3/17",NA,20144,"Christchurch City.","Common Assault"
"778",NA,"1/3/17",NA,20154,"Ashburton District.","Common Assault"
"779",NA,"1/3/17",NA,20159,"Tauranga City.","Common Assault"
"780",NA,"1/3/17",NA,20161,"Timaru District.","Serious Assault Not Resulting in Injury"
"781",NA,"1/3/17",NA,20163,"Hastings District.","Serious Assault Resulting in Injury"
"782",NA,"1/3/17",NA,20164,"Auckland.","Common Assault"
"783",NA,"1/3/17",NA,20169,"Wellington City.","Common Assault"
"784",NA,"1/3/17",NA,20176,"Waikato District.","Serious Assault Not Resulting in Injury"
"785",NA,"1/3/17",NA,20178,"Christchurch City.","Serious Assault Resulting in Injury"
"786",NA,"1/3/17",NA,20184,"Lower Hutt City.","Common Assault"
"787",NA,"1/3/17",NA,20189,"Rotorua District.","Common Assault"
"788",NA,"1/3/17",NA,20193,"Gisborne District.","Serious Assault Resulting in Injury"
"789",NA,"1/3/17",NA,20194,"Wellington City.","Common Assault"
"790",NA,"1/3/17",NA,20204,"Palmerston North City.","Common Assault"
"791",NA,"1/3/17",NA,20206,"Auckland.","Serious Assault Not Resulting in Injury"
"792",NA,"1/3/17",NA,20235,"Rotorua District.","Aggravated Sexual Assault"
"793",NA,"1/3/17",NA,20240,"Palmerston North City.","Aggravated Sexual Assault"
"794",NA,"1/6/17",NA,20776,"Ashburton District.","Serious Assault Not Resulting in Injury"
"795",NA,"1/6/17",NA,20781,"Lower Hutt City.","Serious Assault Not Resulting in Injury"
"796",NA,"1/6/17",NA,20788,"Auckland.","Serious Assault Resulting in Injury"
"797",NA,"1/6/17",NA,20794,"Auckland.","Common Assault"
"798",NA,"1/6/17",NA,20799,"Hastings District.","Common Assault"
"799",NA,"1/6/17",NA,20804,"Auckland.","Common Assault"
"800",NA,"1/6/17",NA,20809,"Dunedin City.","Common Assault"
"801",NA,"1/6/17",NA,20816,"Auckland.","Serious Assault Not Resulting in Injury"
"802",NA,"1/6/17",NA,20821,"Napier City.","Serious Assault Not Resulting in Injury"
"803",NA,"1/6/17",NA,20823,"Taupo District.","Serious Assault Resulting in Injury"
"804",NA,"1/6/17",NA,20828,"Tauranga City.","Serious Assault Resulting in Injury"
"805",NA,"1/6/17",NA,20834,"Christchurch City.","Common Assault"
"806",NA,"1/6/17",NA,20839,"Horowhenua District.","Common Assault"
"807",NA,"1/6/17",NA,20844,"Waitomo District.","Common Assault"
"808",NA,"1/6/17",NA,20849,"Western Bay of Plenty District.","Common Assault"
"809",NA,"1/6/17",NA,20854,"Auckland.","Common Assault"
"810",NA,"1/6/17",NA,20859,"Auckland.","Common Assault"
"811",NA,"1/6/17",NA,20866,"Porirua City.","Serious Assault Not Resulting in Injury"
"812",NA,"1/6/17",NA,20871,"Invercargill City.","Serious Assault Not Resulting in Injury"
"813",NA,"1/6/17",NA,20873,"Christchurch City.","Serious Assault Resulting in Injury"
"814",NA,"1/6/17",NA,20878,"Wanganui District.","Serious Assault Resulting in Injury"
"815",NA,"1/6/17",NA,20884,"Waimakariri District.","Common Assault"
"816",NA,"1/6/17",NA,20889,"Auckland.","Common Assault"
"817",NA,"1/6/17",NA,20894,"Wellington City.","Common Assault"
"818",NA,"1/6/17",NA,20901,"Christchurch City.","Serious Assault Not Resulting in Injury"
"819",NA,"1/6/17",NA,20909,"Lower Hutt City.","Common Assault"
"820",NA,"1/6/17",NA,20919,"Palmerston North City.","Common Assault"
"821",NA,"1/6/17",NA,20924,"Napier City.","Common Assault"
"822",NA,"1/6/17",NA,20929,"Hamilton City.","Common Assault"
"823",NA,"1/6/17",NA,20936,"Ruapehu District.","Serious Assault Not Resulting in Injury"
"824",NA,"1/6/17",NA,20943,"Western Bay of Plenty District.","Serious Assault Resulting in Injury"
"825",NA,"1/6/17",NA,20980,"Auckland.","Aggravated Sexual Assault"
"826",NA,"1/6/17",NA,20985,"Dunedin City.","Aggravated Sexual Assault"
"827",NA,"1/6/17",NA,20997,"Palmerston North City.","Non-Aggravated Sexual Assault"
"828",NA,"1/6/17",NA,21000,"Christchurch City.","Aggravated Sexual Assault"
"829",NA,"1/6/17",NA,21005,"Christchurch City.","Aggravated Sexual Assault"
"830",NA,"1/7/17",NA,21930,"Wellington City.","Aggravated Sexual Assault"
"831",NA,"1/7/17",NA,21935,"Auckland.","Aggravated Sexual Assault"
"832",NA,"1/7/17",NA,21940,"Wellington City.","Aggravated Sexual Assault"
"833",NA,"1/8/17",NA,22289,"Auckland.","Common Assault"
"834",NA,"1/8/17",NA,22294,"Clutha District.","Common Assault"
"835",NA,"1/8/17",NA,22299,"Auckland.","Common Assault"
"836",NA,"1/8/17",NA,22304,"Christchurch City.","Common Assault"
"837",NA,"1/8/17",NA,22309,"Auckland.","Common Assault"
"838",NA,"1/8/17",NA,22314,"Auckland.","Common Assault"
"839",NA,"1/8/17",NA,22316,"Masterton District.","Serious Assault Not Resulting in Injury"
"840",NA,"1/8/17",NA,22321,"Porirua City.","Serious Assault Not Resulting in Injury"
"841",NA,"1/8/17",NA,22323,"Auckland.","Serious Assault Resulting in Injury"
"842",NA,"1/8/17",NA,22328,"Ashburton District.","Serious Assault Resulting in Injury"
"843",NA,"1/8/17",NA,22334,"Auckland.","Common Assault"
"844",NA,"1/8/17",NA,22339,"Auckland.","Common Assault"
"845",NA,"1/8/17",NA,22344,"Auckland.","Common Assault"
"846",NA,"1/8/17",NA,22349,"Lower Hutt City.","Common Assault"
"847",NA,"1/8/17",NA,22351,"Hamilton City.","Serious Assault Not Resulting in Injury"
"848",NA,"1/8/17",NA,22356,"Far North District.","Serious Assault Not Resulting in Injury"
"849",NA,"1/8/17",NA,22358,"Auckland.","Serious Assault Resulting in Injury"
"850",NA,"1/8/17",NA,22363,"Auckland.","Serious Assault Resulting in Injury"
"851",NA,"1/8/17",NA,22369,"Wellington City.","Common Assault"
"852",NA,"1/8/17",NA,22374,"Auckland.","Common Assault"
"853",NA,"1/8/17",NA,22379,"Lower Hutt City.","Common Assault"
"854",NA,"1/8/17",NA,22384,"Auckland.","Common Assault"
"855",NA,"1/8/17",NA,22389,"Porirua City.","Common Assault"
"856",NA,"1/8/17",NA,22394,"Whakatane District.","Common Assault"
"857",NA,"1/8/17",NA,22401,"Auckland.","Serious Assault Not Resulting in Injury"
"858",NA,"1/8/17",NA,22406,"Hurunui District.","Serious Assault Not Resulting in Injury"
"859",NA,"1/8/17",NA,22408,"Auckland.","Serious Assault Resulting in Injury"
"860",NA,"1/8/17",NA,22413,"Auckland.","Serious Assault Resulting in Injury"
"861",NA,"1/8/17",NA,22418,"Upper Hutt City.","Serious Assault Resulting in Injury"
"862",NA,"1/8/17",NA,22424,"Wellington City.","Common Assault"
"863",NA,"1/8/17",NA,22429,"Napier City.","Common Assault"
"864",NA,"1/8/17",NA,22434,"Napier City.","Common Assault"
"865",NA,"1/8/17",NA,22439,"Auckland.","Common Assault"
"866",NA,"1/8/17",NA,22444,"Auckland.","Common Assault"
"867",NA,"1/8/17",NA,22449,"Christchurch City.","Common Assault"
"868",NA,"1/8/17",NA,22454,"Timaru District.","Common Assault"
"869",NA,"1/8/17",NA,22456,"Stratford District.","Serious Assault Not Resulting in Injury"
"870",NA,"1/8/17",NA,22461,"Tauranga City.","Serious Assault Not Resulting in Injury"
"871",NA,"1/8/17",NA,22466,"Auckland.","Serious Assault Not Resulting in Injury"
"872",NA,"1/8/17",NA,22468,"Tauranga City.","Serious Assault Resulting in Injury"
"873",NA,"1/8/17",NA,22473,"Christchurch City.","Serious Assault Resulting in Injury"
"874",NA,"1/8/17",NA,22478,"Christchurch City.","Serious Assault Resulting in Injury"
"875",NA,"1/8/17",NA,22484,"Auckland.","Common Assault"
"876",NA,"1/8/17",NA,22489,"Palmerston North City.","Common Assault"
"877",NA,"1/8/17",NA,22494,"Waikato District.","Common Assault"
"878",NA,"1/8/17",NA,22499,"Auckland.","Common Assault"
"879",NA,"1/8/17",NA,22504,"Auckland.","Common Assault"
"880",NA,"1/8/17",NA,22506,"Hastings District.","Serious Assault Not Resulting in Injury"
"881",NA,"1/8/17",NA,22511,"Auckland.","Serious Assault Not Resulting in Injury"
"882",NA,"1/8/17",NA,22518,"Auckland.","Serious Assault Resulting in Injury"
"883",NA,"1/8/17",NA,22524,"Hamilton City.","Common Assault"
"884",NA,"1/8/17",NA,22529,"Rotorua District.","Common Assault"
"885",NA,"1/8/17",NA,22534,"South Taranaki District.","Common Assault"
"886",NA,"1/8/17",NA,22539,"Hurunui District.","Common Assault"
"887",NA,"1/8/17",NA,22544,"Auckland.","Common Assault"
"888",NA,"1/8/17",NA,22551,"Auckland.","Serious Assault Not Resulting in Injury"
"889",NA,"1/8/17",NA,22556,"Hastings District.","Serious Assault Not Resulting in Injury"
"890",NA,"1/8/17",NA,22558,"Auckland.","Serious Assault Resulting in Injury"
"891",NA,"1/8/17",NA,22563,"Auckland.","Serious Assault Resulting in Injury"
"892",NA,"1/8/17",NA,22569,"Nelson City.","Common Assault"
"893",NA,"1/8/17",NA,22576,"Christchurch City.","Serious Assault Not Resulting in Injury"
"894",NA,"1/8/17",NA,22578,"Rotorua District.","Serious Assault Resulting in Injury"
"895",NA,"1/8/17",NA,22579,"Auckland.","Common Assault"
"896",NA,"1/8/17",NA,22584,"Invercargill City.","Common Assault"
"897",NA,"1/8/17",NA,22589,"Gisborne District.","Common Assault"
"898",NA,"1/8/17",NA,22594,"Hamilton City.","Common Assault"
"899",NA,"1/8/17",NA,22599,"Horowhenua District.","Common Assault"
"900",NA,"1/8/17",NA,22606,"Christchurch City.","Serious Assault Not Resulting in Injury"
"901",NA,"1/8/17",NA,22613,"Porirua City.","Serious Assault Resulting in Injury"
"902",NA,"1/8/17",NA,22655,"Auckland.","Aggravated Sexual Assault"
"903",NA,"1/8/17",NA,22657,"Wanganui District.","Non-Aggravated Sexual Assault"
"904",NA,"1/8/17",NA,22665,"Napier City.","Aggravated Sexual Assault"
"905",NA,"1/8/17",NA,22667,"Christchurch City.","Non-Aggravated Sexual Assault"
"906",NA,"1/8/17",NA,22670,"Auckland.","Aggravated Sexual Assault"
"907",NA,"1/8/17",NA,22675,"Lower Hutt City.","Aggravated Sexual Assault"
"908",NA,"1/8/17",NA,22680,"Whangarei District.","Aggravated Sexual Assault"
"909",NA,"1/8/17",NA,22682,"Kapiti Coast District.","Non-Aggravated Sexual Assault"
"910",NA,"1/7/17",NA,23234,"Auckland.","Common Assault"
"911",NA,"1/7/17",NA,23239,"Auckland.","Common Assault"
"912",NA,"1/7/17",NA,23244,"Auckland.","Common Assault"
"913",NA,"1/7/17",NA,23251,"Auckland.","Serious Assault Not Resulting in Injury"
"914",NA,"1/7/17",NA,23258,"Lower Hutt City.","Serious Assault Resulting in Injury"
"915",NA,"1/7/17",NA,23259,"Auckland.","Common Assault"
"916",NA,"1/7/17",NA,23264,"Marlborough District.","Common Assault"
"917",NA,"1/7/17",NA,23269,"Auckland.","Common Assault"
"918",NA,"1/7/17",NA,23274,"Invercargill City.","Common Assault"
"919",NA,"1/7/17",NA,23279,"Ashburton District.","Common Assault"
"920",NA,"1/7/17",NA,23286,"Matamata-Piako District.","Serious Assault Not Resulting in Injury"
"921",NA,"1/7/17",NA,23293,"Waikato District.","Serious Assault Resulting in Injury"
"922",NA,"1/7/17",NA,23299,"Horowhenua District.","Common Assault"
"923",NA,"1/7/17",NA,23304,"Auckland.","Common Assault"
"924",NA,"1/7/17",NA,23309,"Porirua City.","Common Assault"
"925",NA,"1/7/17",NA,23314,"Whakatane District.","Common Assault"
"926",NA,"1/7/17",NA,23319,"Thames-Coromandel District.","Common Assault"
"927",NA,"1/7/17",NA,23324,"Taupo District.","Common Assault"
"928",NA,"1/7/17",NA,23331,"Christchurch City.","Serious Assault Not Resulting in Injury"
"929",NA,"1/7/17",NA,23336,"Auckland.","Serious Assault Not Resulting in Injury"
"930",NA,"1/7/17",NA,23343,"Horowhenua District.","Serious Assault Resulting in Injury"
"931",NA,"1/7/17",NA,23348,"Waimakariri District.","Serious Assault Resulting in Injury"
"932",NA,"1/7/17",NA,23354,"Auckland.","Common Assault"
"933",NA,"1/7/17",NA,23359,"Palmerston North City.","Common Assault"
"934",NA,"1/7/17",NA,23364,"Lower Hutt City.","Common Assault"
"935",NA,"1/7/17",NA,23369,"Auckland.","Common Assault"
"936",NA,"1/7/17",NA,23374,"Tauranga City.","Common Assault"
"937",NA,"1/7/17",NA,23379,"Hamilton City.","Common Assault"
"938",NA,"1/7/17",NA,23386,"Hamilton City.","Serious Assault Not Resulting in Injury"
"939",NA,"1/7/17",NA,23391,"Hamilton City.","Serious Assault Not Resulting in Injury"
"940",NA,"1/7/17",NA,23398,"Christchurch City.","Serious Assault Resulting in Injury"
"941",NA,"1/7/17",NA,23403,"South Taranaki District.","Serious Assault Resulting in Injury"
"942",NA,"1/7/17",NA,23408,"Auckland.","Serious Assault Resulting in Injury"
"943",NA,"1/7/17",NA,23409,"Auckland.","Common Assault"
"944",NA,"1/7/17",NA,23414,"Auckland.","Common Assault"
"945",NA,"1/7/17",NA,23419,"Auckland.","Common Assault"
"946",NA,"1/7/17",NA,23424,"Gisborne District.","Common Assault"
"947",NA,"1/7/17",NA,23431,"Auckland.","Serious Assault Not Resulting in Injury"
"948",NA,"1/7/17",NA,23438,"Napier City.","Serious Assault Resulting in Injury"
"949",NA,"1/7/17",NA,23444,"Wellington City.","Common Assault"
"950",NA,"1/7/17",NA,23449,"Tauranga City.","Common Assault"
"951",NA,"1/7/17",NA,23454,"Porirua City.","Common Assault"
"952",NA,"1/7/17",NA,23461,"Auckland.","Serious Assault Not Resulting in Injury"
"953",NA,"1/7/17",NA,23468,"Hastings District.","Serious Assault Resulting in Injury"
"954",NA,"1/7/17",NA,23469,"Auckland.","Common Assault"
"955",NA,"1/7/17",NA,23476,"Wellington City.","Serious Assault Not Resulting in Injury"
"956",NA,"1/7/17",NA,23478,"New Plymouth District.","Serious Assault Resulting in Injury"
"957",NA,"1/7/17",NA,23484,"Hauraki District.","Common Assault"
"958",NA,"1/7/17",NA,23489,"Porirua City.","Common Assault"
"959",NA,"1/7/17",NA,23494,"Auckland.","Common Assault"
"960",NA,"1/7/17",NA,23499,"Auckland.","Common Assault"
"961",NA,"1/7/17",NA,23508,"Auckland.","Serious Assault Resulting in Injury"
"962",NA,"1/7/17",NA,23540,"Auckland.","Aggravated Sexual Assault"
"963",NA,"1/7/17",NA,23545,"Wellington City.","Aggravated Sexual Assault"
"964",NA,"1/7/17",NA,23547,"Auckland.","Non-Aggravated Sexual Assault"
"965",NA,"1/7/17",NA,23550,"Auckland.","Aggravated Sexual Assault"
"966",NA,"1/7/17",NA,23552,"Christchurch City.","Non-Aggravated Sexual Assault"
"967",NA,"1/7/17",NA,23555,"Taupo District.","Aggravated Sexual Assault"
"968",NA,"1/4/17",NA,24944,"Wellington City.","Common Assault"
"969",NA,"1/4/17",NA,24949,"Napier City.","Common Assault"
"970",NA,"1/4/17",NA,24953,"Rotorua District.","Serious Assault Resulting in Injury"
"971",NA,"1/4/17",NA,24959,"Auckland.","Common Assault"
"972",NA,"1/4/17",NA,24969,"South Taranaki District.","Common Assault"
"973",NA,"1/4/17",NA,24974,"Auckland.","Common Assault"
"974",NA,"1/4/17",NA,24979,"Auckland.","Common Assault"
"975",NA,"1/4/17",NA,24981,"Wanganui District.","Serious Assault Not Resulting in Injury"
"976",NA,"1/4/17",NA,24989,"Porirua City.","Common Assault"
"977",NA,"1/4/17",NA,24994,"Auckland.","Common Assault"
"978",NA,"1/4/17",NA,25003,"Whakatane District.","Serious Assault Resulting in Injury"
"979",NA,"1/4/17",NA,25009,"Auckland.","Common Assault"
"980",NA,"1/4/17",NA,25018,"Hamilton City.","Serious Assault Resulting in Injury"
"981",NA,"1/4/17",NA,25029,"Napier City.","Common Assault"
"982",NA,"1/4/17",NA,25065,"Wellington City.","Aggravated Sexual Assault"
"983",NA,"1/4/17",NA,25067,"Tauranga City.","Non-Aggravated Sexual Assault"
"984",NA,"1/4/17",NA,25070,"South Taranaki District.","Aggravated Sexual Assault"
"985",NA,"1/5/17",NA,26239,"Rangitikei District.","Common Assault"
"986",NA,"1/5/17",NA,26244,"Hurunui District.","Common Assault"
"987",NA,"1/5/17",NA,26246,"Grey District.","Serious Assault Not Resulting in Injury"
"988",NA,"1/5/17",NA,26248,"Auckland.","Serious Assault Resulting in Injury"
"989",NA,"1/5/17",NA,26254,"Christchurch City.","Common Assault"
"990",NA,"1/5/17",NA,26259,"Gisborne District.","Common Assault"
"991",NA,"1/5/17",NA,26264,"Auckland.","Common Assault"
"992",NA,"1/5/17",NA,26271,"Wellington City.","Serious Assault Not Resulting in Injury"
"993",NA,"1/5/17",NA,26273,"Auckland.","Serious Assault Resulting in Injury"
"994",NA,"1/5/17",NA,26279,"Napier City.","Common Assault"
"995",NA,"1/5/17",NA,26284,"Waitaki District.","Common Assault"
"996",NA,"1/5/17",NA,26291,"Tauranga City.","Serious Assault Not Resulting in Injury"
"997",NA,"1/5/17",NA,26293,"Napier City.","Serious Assault Resulting in Injury"
"998",NA,"1/5/17",NA,26299,"Christchurch City.","Common Assault"
"999",NA,"1/5/17",NA,26304,"Hamilton City.","Common Assault"
"1000",NA,"1/5/17",NA,26306,"Auckland.","Serious Assault Not Resulting in Injury"
"1001",NA,"1/5/17",NA,26309,"Auckland.","Common Assault"
"1002",NA,"1/5/17",NA,26314,"Palmerston North City.","Common Assault"
"1003",NA,"1/5/17",NA,26318,"Napier City.","Serious Assault Resulting in Injury"
"1004",NA,"1/5/17",NA,26321,"Lower Hutt City.","Serious Assault Not Resulting in Injury"
"1005",NA,"1/5/17",NA,26324,"Rotorua District.","Common Assault"
"1006",NA,"1/5/17",NA,26329,"Dunedin City.","Common Assault"
"1007",NA,"1/5/17",NA,26370,"Palmerston North City.","Aggravated Sexual Assault"
"1008",NA,"1/5/17",NA,26372,"Auckland.","Non-Aggravated Sexual Assault"
"1009",NA,"1/5/17",NA,26375,"Marlborough District.","Aggravated Sexual Assault"
"1010",NA,"1/2/17",NA,28431,"Auckland.","Serious Assault Not Resulting in Injury"
"1011",NA,"1/2/17",NA,28444,"Auckland.","Common Assault"
"1012",NA,"1/2/17",NA,28453,"Napier City.","Serious Assault Resulting in Injury"
"1013",NA,"1/2/17",NA,28454,"Christchurch City.","Common Assault"
"1014",NA,"1/2/17",NA,28459,"Auckland.","Common Assault"
"1015",NA,"1/2/17",NA,28461,"Auckland.","Serious Assault Not Resulting in Injury"
"1016",NA,"1/2/17",NA,28464,"Dunedin City.","Common Assault"
"1017",NA,"1/2/17",NA,28469,"Rangitikei District.","Common Assault"
"1018",NA,"1/2/17",NA,28474,"Thames-Coromandel District.","Common Assault"
"1019",NA,"1/2/17",NA,28476,"Gisborne District.","Serious Assault Not Resulting in Injury"
"1020",NA,"1/2/17",NA,28478,"Waipa District.","Serious Assault Resulting in Injury"
"1021",NA,"1/2/17",NA,28479,"Horowhenua District.","Common Assault"
"1022",NA,"1/2/17",NA,28484,"Hamilton City.","Common Assault"
"1023",NA,"1/2/17",NA,28494,"Auckland.","Common Assault"
"1024",NA,"1/2/17",NA,28504,"Auckland.","Common Assault"
"1025",NA,"1/2/17",NA,28514,"Lower Hutt City.","Common Assault"
"1026",NA,"1/2/17",NA,28540,"Grey District.","Aggravated Sexual Assault"
"1027",NA,"1/2/17",NA,28545,"Hauraki District.","Aggravated Sexual Assault"
"1028",NA,"1/2/17",NA,28547,"Dunedin City.","Non-Aggravated Sexual Assault"
"1029",NA,"1/5/17",NA,29484,"Hastings District.","Common Assault"
"1030",NA,"1/5/17",NA,29486,"South Taranaki District.","Serious Assault Not Resulting in Injury"
"1031",NA,"1/5/17",NA,29488,"Napier City.","Serious Assault Resulting in Injury"
"1032",NA,"1/5/17",NA,29489,"Hamilton City.","Common Assault"
"1033",NA,"1/5/17",NA,29493,"Taupo District.","Serious Assault Resulting in Injury"
"1034",NA,"1/5/17",NA,29494,"Waimakariri District.","Common Assault"
"1035",NA,"1/5/17",NA,29499,"Auckland.","Common Assault"
"1036",NA,"1/5/17",NA,29501,"Taupo District.","Serious Assault Not Resulting in Injury"
"1037",NA,"1/9/17",NA,30499,"Auckland.","Common Assault"
"1038",NA,"1/9/17",NA,30504,"Nelson City.","Common Assault"
"1039",NA,"1/9/17",NA,30509,"Wellington City.","Common Assault"
"1040",NA,"1/9/17",NA,30519,"Auckland.","Common Assault"
"1041",NA,"1/9/17",NA,30524,"Auckland.","Common Assault"
"1042",NA,"1/9/17",NA,30529,"Matamata-Piako District.","Common Assault"
"1043",NA,"1/9/17",NA,30534,"Mackenzie District.","Common Assault"
"1044",NA,"1/9/17",NA,30543,"Queenstown-Lakes District.","Serious Assault Resulting in Injury"
"1045",NA,"1/9/17",NA,30549,"Hauraki District.","Common Assault"
"1046",NA,"1/9/17",NA,30554,"Masterton District.","Common Assault"
"1047",NA,"1/9/17",NA,30561,"Dunedin City.","Serious Assault Not Resulting in Injury"
"1048",NA,"1/9/17",NA,30563,"Hamilton City.","Serious Assault Resulting in Injury"
"1049",NA,"1/9/17",NA,30569,"Auckland.","Common Assault"
"1050",NA,"1/9/17",NA,30579,"Auckland.","Common Assault"
"1051",NA,"1/9/17",NA,30589,"Grey District.","Common Assault"
"1052",NA,"1/9/17",NA,30594,"Dunedin City.","Common Assault"
"1053",NA,"1/9/17",NA,30640,"Auckland.","Aggravated Sexual Assault"
"1054",NA,"1/9/17",NA,30642,"Tauranga City.","Non-Aggravated Sexual Assault"
"1055",NA,"1/9/17",NA,30645,"Auckland.","Aggravated Sexual Assault"
"1056",NA,"1/7/17",NA,32214,"Christchurch City.","Common Assault"
"1057",NA,"1/7/17",NA,32219,"Hastings District.","Common Assault"
"1058",NA,"1/7/17",NA,32223,"Central Otago District.","Serious Assault Resulting in Injury"
"1059",NA,"1/7/17",NA,32228,"Hastings District.","Serious Assault Resulting in Injury"
"1060",NA,"1/7/17",NA,32229,"Christchurch City.","Common Assault"
"1061",NA,"1/7/17",NA,32239,"Auckland.","Common Assault"
"1062",NA,"1/7/17",NA,32245,"Palmerston North City.","Aggravated Sexual Assault"
"1063",NA,"1/9/17",NA,35183,"Christchurch City.","Serious Assault Resulting in Injury"
"1064",NA,"1/9/17",NA,35189,"Hamilton City.","Common Assault"
"1065",NA,"1/9/17",NA,35194,"Christchurch City.","Common Assault"
"1066",NA,"1/9/17",NA,35199,"Palmerston North City.","Common Assault"
"1067",NA,"1/9/17",NA,35204,"Palmerston North City.","Common Assault"
"1068",NA,"1/9/17",NA,35211,"Auckland.","Serious Assault Not Resulting in Injury"
"1069",NA,"1/9/17",NA,35216,"Auckland.","Serious Assault Not Resulting in Injury"
"1070",NA,"1/9/17",NA,35218,"Hamilton City.","Serious Assault Resulting in Injury"
"1071",NA,"1/9/17",NA,35224,"Auckland.","Common Assault"
"1072",NA,"1/9/17",NA,35229,"Auckland.","Common Assault"
"1073",NA,"1/9/17",NA,35233,"Napier City.","Serious Assault Resulting in Injury"
"1074",NA,"1/9/17",NA,35234,"Auckland.","Common Assault"
"1075",NA,"1/9/17",NA,35239,"Whangarei District.","Common Assault"
"1076",NA,"1/9/17",NA,35244,"Tasman District.","Common Assault"
"1077",NA,"1/9/17",NA,35249,"Wanganui District.","Common Assault"
"1078",NA,"1/9/17",NA,35254,"Auckland.","Common Assault"
"1079",NA,"1/9/17",NA,35256,"Auckland.","Serious Assault Not Resulting in Injury"
"1080",NA,"1/9/17",NA,35261,"Gisborne District.","Serious Assault Not Resulting in Injury"
"1081",NA,"1/9/17",NA,35263,"Mackenzie District.","Serious Assault Resulting in Injury"
"1082",NA,"1/9/17",NA,35268,"Auckland.","Serious Assault Resulting in Injury"
"1083",NA,"1/9/17",NA,35312,"Hastings District.","Non-Aggravated Sexual Assault"
"1084",NA,"1/9/17",NA,35315,"Dunedin City.","Aggravated Sexual Assault"
"1085",NA,"1/9/17",NA,35325,"Auckland.","Aggravated Sexual Assault"
"1086",NA,"1/12/17",NA,36469,"Far North District.","Common Assault"
"1087",NA,"1/12/17",NA,36484,"Dunedin City.","Common Assault"
"1088",NA,"1/12/17",NA,36486,"Porirua City.","Serious Assault Not Resulting in Injury"
"1089",NA,"1/12/17",NA,36488,"Auckland.","Serious Assault Resulting in Injury"
"1090",NA,"1/12/17",NA,36494,"Dunedin City.","Common Assault"
"1091",NA,"1/12/17",NA,36496,"Horowhenua District.","Serious Assault Not Resulting in Injury"
"1092",NA,"1/12/17",NA,36498,"Gisborne District.","Serious Assault Resulting in Injury"
"1093",NA,"1/12/17",NA,36514,"Buller District.","Common Assault"
"1094",NA,"1/10/17",NA,37794,"Wellington City.","Common Assault"
"1095",NA,"1/10/17",NA,37816,"Buller District.","Serious Assault Not Resulting in Injury"
"1096",NA,"1/10/17",NA,37824,"Manawatu District.","Common Assault"
"1097",NA,"1/10/17",NA,37830,"Far North District.","Aggravated Sexual Assault"
"1098",NA,"1/6/17",NA,39634,"Hastings District.","Common Assault"
"1099",NA,"1/6/17",NA,39639,"Buller District.","Common Assault"
"1100",NA,"1/6/17",NA,39648,"Waikato District.","Serious Assault Resulting in Injury"
"1101",NA,"1/6/17",NA,39649,"Auckland.","Common Assault"
"1102",NA,"1/6/17",NA,39654,"Auckland.","Common Assault"
"1103",NA,"1/6/17",NA,39659,"Auckland.","Common Assault"
"1104",NA,"1/6/17",NA,39664,"Queenstown-Lakes District.","Common Assault"
"1105",NA,"1/6/17",NA,39674,"Invercargill City.","Common Assault"
"1106",NA,"1/6/17",NA,39679,"Tauranga City.","Common Assault"
"1107",NA,"1/6/17",NA,39689,"Hastings District.","Common Assault"
"1108",NA,"1/6/17",NA,39694,"Auckland.","Common Assault"
"1109",NA,"1/6/17",NA,39701,"Auckland.","Serious Assault Not Resulting in Injury"
"1110",NA,"1/6/17",NA,39704,"Marlborough District.","Common Assault"
"1111",NA,"1/6/17",NA,39709,"Auckland.","Common Assault"
"1112",NA,"1/6/17",NA,39711,"South Waikato District.","Serious Assault Not Resulting in Injury"
