"","District","date","Event.Type","Number of victims","Territorial.Authority","ANZSOC.Group"
"4693",NA,"1/6/19",NA,196204,"Auckland.","Common Assault"
"4694",NA,"1/6/19",NA,196209,"Palmerston North City.","Common Assault"
"4695",NA,"1/6/19",NA,196214,"Wellington City.","Common Assault"
"4696",NA,"1/6/19",NA,196219,"Auckland.","Common Assault"
"4697",NA,"1/6/19",NA,196226,"Kapiti Coast District.","Serious Assault Not Resulting in Injury"
"4698",NA,"1/6/19",NA,196233,"Tauranga City.","Serious Assault Resulting in Injury"
"4699",NA,"1/6/19",NA,196238,"Tauranga City.","Serious Assault Resulting in Injury"
"4700",NA,"1/6/19",NA,196244,"Ashburton District.","Common Assault"
"4701",NA,"1/6/19",NA,196249,"Auckland.","Common Assault"
"4702",NA,"1/6/19",NA,196254,"Christchurch City.","Common Assault"
"4703",NA,"1/6/19",NA,196259,"Christchurch City.","Common Assault"
"4704",NA,"1/6/19",NA,196264,"Christchurch City.","Common Assault"
"4705",NA,"1/6/19",NA,196266,"Queenstown-Lakes District.","Serious Assault Not Resulting in Injury"
"4706",NA,"1/6/19",NA,196271,"Wellington City.","Serious Assault Not Resulting in Injury"
"4707",NA,"1/6/19",NA,196276,"Auckland.","Serious Assault Not Resulting in Injury"
"4708",NA,"1/6/19",NA,196283,"Auckland.","Serious Assault Resulting in Injury"
"4709",NA,"1/6/19",NA,196288,"Hamilton City.","Serious Assault Resulting in Injury"
"4710",NA,"1/6/19",NA,196294,"Waikato District.","Common Assault"
"4711",NA,"1/6/19",NA,196299,"Tauranga City.","Common Assault"
"4712",NA,"1/6/19",NA,196304,"Christchurch City.","Common Assault"
"4713",NA,"1/6/19",NA,196309,"Auckland.","Common Assault"
"4714",NA,"1/6/19",NA,196316,"Porirua City.","Serious Assault Not Resulting in Injury"
"4715",NA,"1/6/19",NA,196321,"Christchurch City.","Serious Assault Not Resulting in Injury"
"4716",NA,"1/6/19",NA,196328,"Central Hawke's Bay District.","Serious Assault Resulting in Injury"
"4717",NA,"1/6/19",NA,196333,"Timaru District.","Serious Assault Resulting in Injury"
"4718",NA,"1/6/19",NA,196338,"Wellington City.","Serious Assault Resulting in Injury"
"4719",NA,"1/6/19",NA,196344,"Wellington City.","Common Assault"
"4720",NA,"1/6/19",NA,196349,"Palmerston North City.","Common Assault"
"4721",NA,"1/6/19",NA,196354,"Lower Hutt City.","Common Assault"
"4722",NA,"1/6/19",NA,196359,"Christchurch City.","Common Assault"
"4723",NA,"1/6/19",NA,196366,"Wellington City.","Serious Assault Not Resulting in Injury"
"4724",NA,"1/6/19",NA,196371,"Auckland.","Serious Assault Not Resulting in Injury"
"4725",NA,"1/6/19",NA,196378,"Auckland.","Serious Assault Resulting in Injury"
"4726",NA,"1/6/19",NA,196383,"Porirua City.","Serious Assault Resulting in Injury"
"4727",NA,"1/6/19",NA,196388,"South Waikato District.","Serious Assault Resulting in Injury"
"4728",NA,"1/6/19",NA,196394,"Auckland.","Common Assault"
"4729",NA,"1/6/19",NA,196399,"Christchurch City.","Common Assault"
"4730",NA,"1/6/19",NA,196404,"Palmerston North City.","Common Assault"
"4731",NA,"1/6/19",NA,196409,"New Plymouth District.","Common Assault"
"4732",NA,"1/6/19",NA,196416,"Waikato District.","Serious Assault Not Resulting in Injury"
"4733",NA,"1/6/19",NA,196421,"Whangarei District.","Serious Assault Not Resulting in Injury"
"4734",NA,"1/6/19",NA,196423,"Auckland.","Serious Assault Resulting in Injury"
"4735",NA,"1/6/19",NA,196428,"Auckland.","Serious Assault Resulting in Injury"
"4736",NA,"1/6/19",NA,196433,"Tasman District.","Serious Assault Resulting in Injury"
"4737",NA,"1/6/19",NA,196439,"South Waikato District.","Common Assault"
"4738",NA,"1/6/19",NA,196444,"Palmerston North City.","Common Assault"
"4739",NA,"1/6/19",NA,196449,"Lower Hutt City.","Common Assault"
"4740",NA,"1/6/19",NA,196456,"Auckland.","Serious Assault Not Resulting in Injury"
"4741",NA,"1/6/19",NA,196461,"Hamilton City.","Serious Assault Not Resulting in Injury"
"4742",NA,"1/6/19",NA,196463,"Hamilton City.","Serious Assault Resulting in Injury"
"4743",NA,"1/6/19",NA,196468,"Rotorua District.","Serious Assault Resulting in Injury"
"4744",NA,"1/6/19",NA,196474,"Palmerston North City.","Common Assault"
"4745",NA,"1/6/19",NA,196476,"Upper Hutt City.","Serious Assault Not Resulting in Injury"
