"","Original.Index","date","ANZSOC.Group","Area.Unit","Meshblock","Territorial.Authority"
"535",22356,0001-08-17,"Serious Assault Not Resulting in Injury","Ngapuhi-Kaikou.",37000,"Far North District."
"536",22358,0001-08-17,"Serious Assault Resulting in Injury","Auckland Harbourside.",437903,"Auckland."
"537",22363,0001-08-17,"Serious Assault Resulting in Injury","Grange.",695700,"Auckland."
"538",22369,0001-08-17,"Common Assault","Newlands South.",2076800,"Wellington City."
"539",22374,0001-08-17,"Common Assault","Auckland Central West.",433200,"Auckland."
"540",22379,0001-08-17,"Common Assault","Hutt Central.",1967400,"Lower Hutt City."
"541",22384,0001-08-17,"Common Assault","Auckland Central West.",433503,"Auckland."
"542",22389,0001-08-17,"Common Assault","Porirua East.",2054700,"Porirua City."
"543",22394,0001-08-17,"Common Assault","Trident.",1310600,"Whakatane District."
"544",22401,0001-08-17,"Serious Assault Not Resulting in Injury","Redoubt North.",715701,"Auckland."
"545",22406,0001-08-17,"Serious Assault Not Resulting in Injury","Amberley.",2441400,"Hurunui District."
"546",22408,0001-08-17,"Serious Assault Resulting in Injury","Freemans Bay.",416900,"Auckland."
"547",22413,0001-08-17,"Serious Assault Resulting in Injury","Aorere.",743200,"Auckland."
"548",22418,0001-08-17,"Serious Assault Resulting in Injury","Trentham North.",1896100,"Upper Hutt City."
"549",22424,0001-08-17,"Common Assault","Willis Street-Cambridge Terrace.",2136000,"Wellington City."
"550",22429,0001-08-17,"Common Assault","Mclean Park.",1432400,"Napier City."
"551",22434,0001-08-17,"Common Assault","Marewa.",1434900,"Napier City."
"552",22439,0001-08-17,"Common Assault","Auckland Harbourside.",432900,"Auckland."
"553",22444,0001-08-17,"Common Assault","Silverdale Central.",176602,"Auckland."
"554",22449,0001-08-17,"Common Assault","Bishopdale.",2521900,"Christchurch City."
"555",22454,0001-08-17,"Common Assault","Highfield.",2785902,"Timaru District."
"556",22456,0001-08-17,"Serious Assault Not Resulting in Injury","Stratford East.",1612600,"Stratford District."
"557",22461,0001-08-17,"Serious Assault Not Resulting in Injury","Tauranga South.",1167101,"Tauranga City."
"558",22466,0001-08-17,"Serious Assault Not Resulting in Injury","Takanini West.",768005,"Auckland."
"559",22468,0001-08-17,"Serious Assault Resulting in Injury","Gravatt.",1205047,"Tauranga City."
"560",22473,0001-08-17,"Serious Assault Resulting in Injury","Riccarton South.",2475900,"Christchurch City."
"561",22478,0001-08-17,"Serious Assault Resulting in Injury","Avondale.",2577001,"Christchurch City."
"562",22484,0001-08-17,"Common Assault","Meadowland.",711018,"Auckland."
"563",22489,0001-08-17,"Common Assault","Roslyn.",1840700,"Palmerston North City."
"564",22494,0001-08-17,"Common Assault","Huntly East.",944000,"Waikato District."
"565",22499,0001-08-17,"Common Assault","Browns Bay.",162300,"Auckland."
"566",22504,0001-08-17,"Common Assault","Auckland Central East.",437200,"Auckland."
"567",22506,0001-08-17,"Serious Assault Not Resulting in Injury","Hastings Central.",1491200,"Hastings District."
"568",22511,0001-08-17,"Serious Assault Not Resulting in Injury","Point England.",477100,"Auckland."
"569",22518,0001-08-17,"Serious Assault Resulting in Injury","Homai East.",779800,"Auckland."
"570",22524,0001-08-17,"Common Assault","Hamilton Lake.",932400,"Hamilton City."
"571",22529,0001-08-17,"Common Assault","Owhata West.",1253907,"Rotorua District."
"572",22534,0001-08-17,"Common Assault","Patea.",1662800,"South Taranaki District."
"573",22539,0001-08-17,"Common Assault","Amberley.",2441400,"Hurunui District."
"574",22544,0001-08-17,"Common Assault","Pukekohe North.",817600,"Auckland."
"575",22551,0001-08-17,"Serious Assault Not Resulting in Injury","Papatoetoe Central.",665700,"Auckland."
"576",22556,0001-08-17,"Serious Assault Not Resulting in Injury","Lochain.",1474116,"Hastings District."
"577",22558,0001-08-17,"Serious Assault Resulting in Injury","Middlemore.",786500,"Auckland."
"578",22563,0001-08-17,"Serious Assault Resulting in Injury","Mt Wellington Domain.",628204,"Auckland."
"579",22569,0001-08-17,"Common Assault","Trafalgar.",2320900,"Nelson City."
"580",22576,0001-08-17,"Serious Assault Not Resulting in Injury","999999",-332,"Christchurch City."
"581",22578,0001-08-17,"Serious Assault Resulting in Injury","Owhata East.",1254900,"Rotorua District."
"582",22579,0001-08-17,"Common Assault","Auckland Central West.",435802,"Auckland."
"583",22584,0001-08-17,"Common Assault","West Invercargill.",3104400,"Invercargill City."
"584",22589,0001-08-17,"Common Assault","Gisborne Central.",1371100,"Gisborne District."
"585",22594,0001-08-17,"Common Assault","Hamilton East.",893100,"Hamilton City."
"586",22599,0001-08-17,"Common Assault","Levin West.",1869600,"Horowhenua District."
"587",22606,0001-08-17,"Serious Assault Not Resulting in Injury","Hornby North.",2488000,"Christchurch City."
"588",22613,0001-08-17,"Serious Assault Resulting in Injury","Cannons Creek East.",2064500,"Porirua City."
"589",22655,0001-08-17,"Aggravated Sexual Assault","999999",-90,"Auckland."
"590",22657,0001-08-17,"Non-Aggravated Sexual Assault","Laird Park.",1704600,"Wanganui District."
"591",22665,0001-08-17,"Aggravated Sexual Assault","Tamatea South.",1453200,"Napier City."
"592",22667,0001-08-17,"Non-Aggravated Sexual Assault","Belfast.",2514200,"Christchurch City."
"593",22670,0001-08-17,"Aggravated Sexual Assault","One Tree Hill East.",619900,"Auckland."
"594",22675,0001-08-17,"Aggravated Sexual Assault","Taita South.",1937400,"Lower Hutt City."
"595",22680,0001-08-17,"Aggravated Sexual Assault","Regent.",96201,"Whangarei District."
"596",22682,0001-08-17,"Non-Aggravated Sexual Assault","Paraparaumu Central.",1997101,"Kapiti Coast District."
"597",23234,0001-07-17,"Common Assault","Otahuhu West.",784802,"Auckland."
"598",23239,0001-07-17,"Common Assault","Silverdale Central.",176802,"Auckland."
"599",23244,0001-07-17,"Common Assault","Takanini North.",768200,"Auckland."
"600",23251,0001-07-17,"Serious Assault Not Resulting in Injury","Onehunga South West.",597600,"Auckland."
"601",23258,0001-07-17,"Serious Assault Resulting in Injury","Avalon East.",1949200,"Lower Hutt City."
"602",23259,0001-07-17,"Common Assault","Auckland Central West.",434000,"Auckland."
"603",23264,0001-07-17,"Common Assault","Mayfield.",2293800,"Marlborough District."
"604",23269,0001-07-17,"Common Assault","Snells Beach.",141603,"Auckland."
"605",23274,0001-07-17,"Common Assault","Appleby-Kew.",3115000,"Invercargill City."
"606",23279,0001-07-17,"Common Assault","Ashburton Central West.",2739000,"Ashburton District."
"607",23286,0001-07-17,"Serious Assault Not Resulting in Injury","Morrinsville East.",1089100,"Matamata-Piako District."
"608",23293,0001-07-17,"Serious Assault Resulting in Injury","Waikato Western Hills.",859705,"Waikato District."
"609",23299,0001-07-17,"Common Assault","Levin North.",1865000,"Horowhenua District."
"610",23304,0001-07-17,"Common Assault","Paremoremo East.",179600,"Auckland."
"611",23309,0001-07-17,"Common Assault","Cannons Creek North.",2046100,"Porirua City."
"612",23314,0001-07-17,"Common Assault","Trident.",1310700,"Whakatane District."
"613",23319,0001-07-17,"Common Assault","Parawai.",1055900,"Thames-Coromandel District."
"614",23324,0001-07-17,"Common Assault","Tongariro.",1281504,"Taupo District."
"615",23331,0001-07-17,"Serious Assault Not Resulting in Injury","Avon Loop.",2654900,"Christchurch City."
"616",23336,0001-07-17,"Serious Assault Not Resulting in Injury","Beachhaven North.",341900,"Auckland."
"617",23343,0001-07-17,"Serious Assault Resulting in Injury","Levin West.",1869600,"Horowhenua District."
"618",23348,0001-07-17,"Serious Assault Resulting in Injury","Rangiora West.",2446002,"Waimakariri District."
"619",23354,0001-07-17,"Common Assault","Auckland Harbourside.",432800,"Auckland."
"620",23359,0001-07-17,"Common Assault","Palmerston North Central.",1829500,"Palmerston North City."
"621",23364,0001-07-17,"Common Assault","Glendale.",2014300,"Lower Hutt City."
"622",23369,0001-07-17,"Common Assault","Manurewa East.",758200,"Auckland."
"623",23374,0001-07-17,"Common Assault","Tauranga Hospital.",1170400,"Tauranga City."
"624",23379,0001-07-17,"Common Assault","Frankton Junction.",915300,"Hamilton City."
"625",23386,0001-07-17,"Serious Assault Not Resulting in Injury","Hamilton Central.",911800,"Hamilton City."
"626",23391,0001-07-17,"Serious Assault Not Resulting in Injury","Te Rapa.",907800,"Hamilton City."
"627",23398,0001-07-17,"Serious Assault Resulting in Injury","Halswell South.",2483805,"Christchurch City."
"628",23403,0001-07-17,"Serious Assault Resulting in Injury","999999",-213,"South Taranaki District."
"629",23408,0001-07-17,"Serious Assault Resulting in Injury","Mt Wellington South.",635300,"Auckland."
"630",23409,0001-07-17,"Common Assault","Auckland Central West.",434000,"Auckland."
"631",23414,0001-07-17,"Common Assault","Wiri.",780411,"Auckland."
"632",23419,0001-07-17,"Common Assault","Avondale West.",389900,"Auckland."
"633",23424,0001-07-17,"Common Assault","Kaiti North.",1382200,"Gisborne District."
"634",23431,0001-07-17,"Serious Assault Not Resulting in Injury","Wiri.",780501,"Auckland."
"635",23438,0001-07-17,"Serious Assault Resulting in Injury","Greenmeadows.",1455201,"Napier City."
"636",23444,0001-07-17,"Common Assault","Lambton.",2123800,"Wellington City."
"637",23449,0001-07-17,"Common Assault","Tauranga Central.",1164800,"Tauranga City."
"638",23454,0001-07-17,"Common Assault","Porirua Central.",2052400,"Porirua City."
"639",23461,0001-07-17,"Serious Assault Not Resulting in Injury","Meadowbank North.",461200,"Auckland."
"640",23468,0001-07-17,"Serious Assault Resulting in Injury","Pakowhai.",1404200,"Hastings District."
"641",23469,0001-07-17,"Common Assault","Glenfield Central.",200800,"Auckland."
"642",23476,0001-07-17,"Serious Assault Not Resulting in Injury","Newtown East.",2168300,"Wellington City."
"643",23478,0001-07-17,"Serious Assault Resulting in Injury","New Plymouth Central.",1592400,"New Plymouth District."
"644",23484,0001-07-17,"Common Assault","Paeroa.",1070500,"Hauraki District."
"645",23489,0001-07-17,"Common Assault","Cannons Creek East.",2065200,"Porirua City."
"646",23494,0001-07-17,"Common Assault","Manukau Central.",780204,"Auckland."
"647",23499,0001-07-17,"Common Assault","Waimumu South.",229004,"Auckland."
"648",23508,0001-07-17,"Serious Assault Resulting in Injury","Glen Innes West.",476400,"Auckland."
"649",23540,0001-07-17,"Aggravated Sexual Assault","Glen Innes West.",474100,"Auckland."
"650",23545,0001-07-17,"Aggravated Sexual Assault","Willis Street-Cambridge Terrace.",2133200,"Wellington City."
"651",23547,0001-07-17,"Non-Aggravated Sexual Assault","Kingsland.",532300,"Auckland."
"652",23550,0001-07-17,"Aggravated Sexual Assault","Tamaki.",633900,"Auckland."
"653",23552,0001-07-17,"Non-Aggravated Sexual Assault","Mairehau North.",2507300,"Christchurch City."
"654",23555,0001-07-17,"Aggravated Sexual Assault","Tongariro.",1288001,"Taupo District."
"655",24944,0001-04-17,"Common Assault","Mt Victoria West.",2141200,"Wellington City."
"656",24949,0001-04-17,"Common Assault","Ahuriri.",1419300,"Napier City."
"657",24953,0001-04-17,"Serious Assault Resulting in Injury","Kuirau.",1234700,"Rotorua District."
"658",24959,0001-04-17,"Common Assault","Favona West.",731103,"Auckland."
"659",24969,0001-04-17,"Common Assault","Opunake.",1633400,"South Taranaki District."
"660",24974,0001-04-17,"Common Assault","Albany.",178900,"Auckland."
"661",24979,0001-04-17,"Common Assault","Beaumont.",752802,"Auckland."
"662",24981,0001-04-17,"Serious Assault Not Resulting in Injury","Durie Hill.",1695800,"Wanganui District."
"663",24989,0001-04-17,"Common Assault","Porirua Central.",2053104,"Porirua City."
"664",24994,0001-04-17,"Common Assault","Pukekohe West.",822405,"Auckland."
"665",25003,0001-04-17,"Serious Assault Resulting in Injury","Whakatane North.",1304800,"Whakatane District."
"666",25009,0001-04-17,"Common Assault","Lynnmall.",265800,"Auckland."
"667",25018,0001-04-17,"Serious Assault Resulting in Injury","Enderley.",867100,"Hamilton City."
"668",25029,0001-04-17,"Common Assault","Greenmeadows.",1454900,"Napier City."
"669",25065,0001-04-17,"Aggravated Sexual Assault","Tawa Central.",1991701,"Wellington City."
"670",25067,0001-04-17,"Non-Aggravated Sexual Assault","Mt Maunganui North.",1202901,"Tauranga City."
"671",25070,0001-04-17,"Aggravated Sexual Assault","Hawera North.",1642600,"South Taranaki District."
"672",26239,0001-05-17,"Common Assault","Marton.",1735400,"Rangitikei District."
"673",26244,0001-05-17,"Common Assault","Hanmer Springs.",2427102,"Hurunui District."
"674",26246,0001-05-17,"Serious Assault Not Resulting in Injury","Greymouth Central.",2405900,"Grey District."
"675",26248,0001-05-17,"Serious Assault Resulting in Injury","Browns Bay.",161100,"Auckland."
"676",26254,0001-05-17,"Common Assault","Cathedral Square.",2652300,"Christchurch City."
"677",26259,0001-05-17,"Common Assault","Gisborne Central.",1371400,"Gisborne District."
"678",26264,0001-05-17,"Common Assault","Favona North.",730301,"Auckland."
"679",26271,0001-05-17,"Serious Assault Not Resulting in Injury","Willis Street-Cambridge Terrace.",2131100,"Wellington City."
"680",26273,0001-05-17,"Serious Assault Resulting in Injury","Westlake.",305201,"Auckland."
"681",26279,0001-05-17,"Common Assault","Onekawa Central.",1439400,"Napier City."
"682",26284,0001-05-17,"Common Assault","Oamaru North.",2847200,"Waitaki District."
"683",26291,0001-05-17,"Serious Assault Not Resulting in Injury","Tauranga South.",1170100,"Tauranga City."
"684",26293,0001-05-17,"Serious Assault Resulting in Injury","Ahuriri.",1418900,"Napier City."
"685",26299,0001-05-17,"Common Assault","Linwood.",2609600,"Christchurch City."
"686",26304,0001-05-17,"Common Assault","Grandview.",906600,"Hamilton City."
"687",26306,0001-05-17,"Serious Assault Not Resulting in Injury","Lynnmall.",266300,"Auckland."
"688",26309,0001-05-17,"Common Assault","Kohuora.",657300,"Auckland."
"689",26314,0001-05-17,"Common Assault","Palmerston North Central.",1829100,"Palmerston North City."
"690",26318,0001-05-17,"Serious Assault Resulting in Injury","Nelson Park.",1430800,"Napier City."
"691",26321,0001-05-17,"Serious Assault Not Resulting in Injury","Wilford.",2028600,"Lower Hutt City."
"692",26324,0001-05-17,"Common Assault","Victoria.",1236500,"Rotorua District."
"693",26329,0001-05-17,"Common Assault","Brighton.",2972700,"Dunedin City."
"694",26370,0001-05-17,"Aggravated Sexual Assault","Ashhurst.",1758100,"Palmerston North City."
"695",26372,0001-05-17,"Non-Aggravated Sexual Assault","Dairy Flat-Redvale.",175907,"Auckland."
"696",26375,0001-05-17,"Aggravated Sexual Assault","Whitney.",2299200,"Marlborough District."
"697",28431,0001-02-17,"Serious Assault Not Resulting in Injury","Burswood.",711402,"Auckland."
"698",28444,0001-02-17,"Common Assault","Mt St John.",615000,"Auckland."
"699",28453,0001-02-17,"Serious Assault Resulting in Injury","Onekawa West.",1426500,"Napier City."
"700",28454,0001-02-17,"Common Assault","Cathedral Square.",2652800,"Christchurch City."
"701",28459,0001-02-17,"Common Assault","Papakura Central.",792100,"Auckland."
"702",28461,0001-02-17,"Serious Assault Not Resulting in Injury","Rongomai.",712304,"Auckland."
"703",28464,0001-02-17,"Common Assault","Otago University.",2864500,"Dunedin City."
"704",28469,0001-02-17,"Common Assault","Marton.",1736100,"Rangitikei District."
"705",28474,0001-02-17,"Common Assault","Whitianga.",1047300,"Thames-Coromandel District."
"706",28476,0001-02-17,"Serious Assault Not Resulting in Injury","Kaiti South.",1386000,"Gisborne District."
"707",28478,0001-02-17,"Serious Assault Resulting in Injury","Kihikihi.",989901,"Waipa District."
"708",28479,0001-02-17,"Common Assault","Levin West.",1869402,"Horowhenua District."
"709",28484,0001-02-17,"Common Assault","Chedworth.",877700,"Hamilton City."
"710",28494,0001-02-17,"Common Assault","Parnell West.",453900,"Auckland."
"711",28504,0001-02-17,"Common Assault","North Harbour East.",180809,"Auckland."
"712",28514,0001-02-17,"Common Assault","Waiwhetu North.",1977100,"Lower Hutt City."
"713",28540,0001-02-17,"Aggravated Sexual Assault","Dobson.",2403600,"Grey District."
"714",28545,0001-02-17,"Aggravated Sexual Assault","Ohinemuri.",1082800,"Hauraki District."
"715",28547,0001-02-17,"Non-Aggravated Sexual Assault","Stuart St-Frederick St.",2903100,"Dunedin City."
"716",29484,0001-05-17,"Common Assault","Twyford.",1471100,"Hastings District."
"717",29486,0001-05-17,"Serious Assault Not Resulting in Injury","Opunake.",1632701,"South Taranaki District."
"718",29488,0001-05-17,"Serious Assault Resulting in Injury","Pirimai.",1450300,"Napier City."
"719",29489,0001-05-17,"Common Assault","Sylvester.",951706,"Hamilton City."
"720",29493,0001-05-17,"Serious Assault Resulting in Injury","Acacia Bay.",1279502,"Taupo District."
"721",29494,0001-05-17,"Common Assault","Eyrewell.",2457502,"Waimakariri District."
"722",29499,0001-05-17,"Common Assault","McLaren Park.",281300,"Auckland."
"723",29501,0001-05-17,"Serious Assault Not Resulting in Injury","Marotiri.",1293600,"Taupo District."
"724",30499,0001-09-17,"Common Assault","Baverstock Oaks.",712106,"Auckland."
"725",30504,0001-09-17,"Common Assault","Kirks.",2331600,"Nelson City."
"726",30509,0001-09-17,"Common Assault","Thorndon-Tinakori Road.",2122700,"Wellington City."
"727",30519,0001-09-17,"Common Assault","Mangere Central.",740500,"Auckland."
"728",30524,0001-09-17,"Common Assault","Manurewa East.",758200,"Auckland."
"729",30529,0001-09-17,"Common Assault","Morrinsville West.",1088600,"Matamata-Piako District."
"730",30534,0001-09-17,"Common Assault","Twizel Community.",2808100,"Mackenzie District."
"731",30543,0001-09-17,"Serious Assault Resulting in Injury","Queenstown Bay.",3033500,"Queenstown-Lakes District."
"732",30549,0001-09-17,"Common Assault","Paeroa.",1071900,"Hauraki District."
"733",30554,0001-09-17,"Common Assault","Masterton Central.",2243200,"Masterton District."
"734",30561,0001-09-17,"Serious Assault Not Resulting in Injury","Caledonian.",2932800,"Dunedin City."
"735",30563,0001-09-17,"Serious Assault Resulting in Injury","Hamilton Central.",911900,"Hamilton City."
"736",30569,0001-09-17,"Common Assault","One Tree Hill Central.",622900,"Auckland."
"737",30579,0001-09-17,"Common Assault","Manukau Central.",780204,"Auckland."
"738",30589,0001-09-17,"Common Assault","Blaketown.",2410800,"Grey District."
"739",30594,0001-09-17,"Common Assault","Musselburgh.",2933300,"Dunedin City."
"740",30640,0001-09-17,"Aggravated Sexual Assault","Lynnmall.",266000,"Auckland."
"741",30642,0001-09-17,"Non-Aggravated Sexual Assault","Mt Maunganui North.",1195200,"Tauranga City."
"742",30645,0001-09-17,"Aggravated Sexual Assault","Henderson South.",242700,"Auckland."
"743",32214,0001-07-17,"Common Assault","Shirley East.",2597000,"Christchurch City."
"744",32219,0001-07-17,"Common Assault","Bridge Pa.",1469704,"Hastings District."
"745",32223,0001-07-17,"Serious Assault Resulting in Injury","Roxburgh.",3009600,"Central Otago District."
"746",32228,0001-07-17,"Serious Assault Resulting in Injury","Camberley.",1478600,"Hastings District."
"747",32229,0001-07-17,"Common Assault","Paparua.",2494600,"Christchurch City."
"748",32239,0001-07-17,"Common Assault","Wymondley.",696500,"Auckland."
"749",32245,0001-07-17,"Aggravated Sexual Assault","Milson.",1838500,"Palmerston North City."
"750",35183,0001-09-17,"Serious Assault Resulting in Injury","Paparua.",2494600,"Christchurch City."
"751",35189,0001-09-17,"Common Assault","999999",-154,"Hamilton City."
"752",35194,0001-09-17,"Common Assault","999999",-332,"Christchurch City."
"753",35199,0001-09-17,"Common Assault","Takaro.",1823700,"Palmerston North City."
"754",35204,0001-09-17,"Common Assault","Takaro.",1824900,"Palmerston North City."
"755",35211,0001-09-17,"Serious Assault Not Resulting in Injury","Wiri.",780509,"Auckland."
"756",35216,0001-09-17,"Serious Assault Not Resulting in Injury","Beachhaven South.",344902,"Auckland."
"757",35218,0001-09-17,"Serious Assault Resulting in Injury","Melville.",928200,"Hamilton City."
"758",35224,0001-09-17,"Common Assault","Manurewa Central.",752100,"Auckland."
"759",35229,0001-09-17,"Common Assault","Papakura Central.",793603,"Auckland."
"760",35233,0001-09-17,"Serious Assault Resulting in Injury","Tamatea North.",1451900,"Napier City."
"761",35234,0001-09-17,"Common Assault","Sandringham West.",540800,"Auckland."
"762",35239,0001-09-17,"Common Assault","Otangarei.",92900,"Whangarei District."
"763",35244,0001-09-17,"Common Assault","Richmond East.",2363204,"Tasman District."
"764",35249,0001-09-17,"Common Assault","Laird Park.",1701800,"Wanganui District."
"765",35254,0001-09-17,"Common Assault","Homai East.",779500,"Auckland."
"766",35256,0001-09-17,"Serious Assault Not Resulting in Injury","Lynnmall.",265300,"Auckland."
"767",35261,0001-09-17,"Serious Assault Not Resulting in Injury","999999",-125,"Gisborne District."
"768",35263,0001-09-17,"Serious Assault Resulting in Injury","Twizel Community.",2812400,"Mackenzie District."
"769",35268,0001-09-17,"Serious Assault Resulting in Injury","Grey Lynn East.",408700,"Auckland."
"770",35312,0001-09-17,"Non-Aggravated Sexual Assault","St Leonards.",1487100,"Hastings District."
"771",35315,0001-09-17,"Aggravated Sexual Assault","High St-Stuart St.",2898200,"Dunedin City."
"772",35325,0001-09-17,"Aggravated Sexual Assault","Westlake.",304000,"Auckland."
"773",36469,0001-12-17,"Common Assault","Kapiro.",44005,"Far North District."
"774",36484,0001-12-17,"Common Assault","Port Chalmers.",2859900,"Dunedin City."
"775",36486,0001-12-17,"Serious Assault Not Resulting in Injury","Papakowhai North.",2056904,"Porirua City."
"776",36488,0001-12-17,"Serious Assault Resulting in Injury","Orakei North.",498600,"Auckland."
"777",36494,0001-12-17,"Common Assault","Wakari.",2884700,"Dunedin City."
"778",36496,0001-12-17,"Serious Assault Not Resulting in Injury","Mangaore-Manakau.",1854400,"Horowhenua District."
"779",36498,0001-12-17,"Serious Assault Resulting in Injury","Kaiti South.",1386102,"Gisborne District."
"780",36514,0001-12-17,"Common Assault","Inangahua Valley.",2395400,"Buller District."
"781",37794,0001-10-17,"Common Assault","Johnsonville East.",2078500,"Wellington City."
"782",37816,0001-10-17,"Serious Assault Not Resulting in Injury","Westport Urban.",2390600,"Buller District."
"783",37824,0001-10-17,"Common Assault","Feilding Central.",1771700,"Manawatu District."
"784",37830,0001-10-17,"Aggravated Sexual Assault","Hokianga South.",25500,"Far North District."
"785",39634,0001-06-17,"Common Assault","Pakipaki.",1469600,"Hastings District."
"786",39639,0001-06-17,"Common Assault","Westport Urban.",2394000,"Buller District."
"787",39648,0001-06-17,"Serious Assault Resulting in Injury","Huntly East.",946700,"Waikato District."
"788",39649,0001-06-17,"Common Assault","Otahuhu North.",787300,"Auckland."
"789",39654,0001-06-17,"Common Assault","Auckland Central East.",437701,"Auckland."
"790",39659,0001-06-17,"Common Assault","Mt Albert Central.",526000,"Auckland."
"791",39664,0001-06-17,"Common Assault","Queenstown Hill.",3033700,"Queenstown-Lakes District."
"792",39674,0001-06-17,"Common Assault","Heidelberg.",3146800,"Invercargill City."
"793",39679,0001-06-17,"Common Assault","Tauranga Central.",1165300,"Tauranga City."
"794",39689,0001-06-17,"Common Assault","Mahora.",1483800,"Hastings District."
"795",39694,0001-06-17,"Common Assault","Drury.",808701,"Auckland."
"796",39701,0001-06-17,"Serious Assault Not Resulting in Injury","Manurewa East.",758200,"Auckland."
"797",39704,0001-06-17,"Common Assault","Riverlands.",2292102,"Marlborough District."
"798",39709,0001-06-17,"Common Assault","Puhinui South.",673500,"Auckland."
"799",39711,0001-06-17,"Serious Assault Not Resulting in Injury","Stanley Park.",1142000,"South Waikato District."
"800",39719,0001-06-17,"Common Assault","Tauranga South.",1170100,"Tauranga City."
"801",40724,0001-10-17,"Common Assault","Te Puke East.",1215900,"Western Bay of Plenty District."
"802",40729,0001-10-17,"Common Assault","Viscount.",739901,"Auckland."
"803",40734,0001-10-17,"Common Assault","Victoria.",1236600,"Rotorua District."
"804",40739,0001-10-17,"Common Assault","Cannons Creek North.",2048500,"Porirua City."
"805",40743,0001-10-17,"Serious Assault Resulting in Injury","Manukau Central.",780209,"Auckland."
"806",40749,0001-10-17,"Common Assault","Cathedral Square.",2653000,"Christchurch City."
"807",40754,0001-10-17,"Common Assault","Hikurangi.",63200,"Whangarei District."
"808",40763,0001-10-17,"Serious Assault Resulting in Injury","Motutangi-Kareponia.",12300,"Far North District."
"809",40769,0001-10-17,"Common Assault","Tauranga Central.",1164000,"Tauranga City."
"810",40774,0001-10-17,"Common Assault","Point England.",477100,"Auckland."
"811",40779,0001-10-17,"Common Assault","Paraparaumu Beach North.",2001107,"Kapiti Coast District."
"812",40788,0001-10-17,"Serious Assault Resulting in Injury","Kingdale.",230500,"Auckland."
"813",40794,0001-10-17,"Common Assault","High St-Stuart St.",2899200,"Dunedin City."
"814",40799,0001-10-17,"Common Assault","Judea.",1162300,"Tauranga City."
"815",40801,0001-10-17,"Serious Assault Not Resulting in Injury","Hutt Central.",1965800,"Lower Hutt City."
"816",40803,0001-10-17,"Serious Assault Resulting in Injury","North Dunedin.",2865900,"Dunedin City."
"817",40804,0001-10-17,"Common Assault","Wigram.",2481603,"Christchurch City."
"818",40809,0001-10-17,"Common Assault","Allandale-Mokorua.",1308300,"Whakatane District."
"819",40824,0001-10-17,"Common Assault","Waipawa.",1517300,"Central Hawke's Bay District."
"820",40860,0001-10-17,"Aggravated Sexual Assault","Kaikoura Township.",2312802,"Kaikoura District."
"821",40862,0001-10-17,"Non-Aggravated Sexual Assault","Karekare.",282009,"Auckland."
"822",42098,0001-06-17,"Serious Assault Resulting in Injury","Mayfield.",2295300,"Marlborough District."
"823",42099,0001-06-17,"Common Assault","Takaro.",1822400,"Palmerston North City."
"824",42104,0001-06-17,"Common Assault","Trident.",1312200,"Whakatane District."
"825",42106,0001-06-17,"Serious Assault Not Resulting in Injury","Mosgiel East.",2965500,"Dunedin City."
"826",42109,0001-06-17,"Common Assault","Paparua.",2494600,"Christchurch City."
"827",42119,0001-06-17,"Common Assault","Mairtown.",91800,"Whangarei District."
"828",42124,0001-06-17,"Common Assault","Kilbirnie West-Hataitai South.",2179101,"Wellington City."
"829",42126,0001-06-17,"Serious Assault Not Resulting in Injury","Raumati Beach.",2004802,"Kapiti Coast District."
"830",42135,0001-06-17,"Aggravated Sexual Assault","Leamington East.",965700,"Waipa District."
"831",43009,0001-03-17,"Common Assault","Manurewa Central.",751600,"Auckland."
"832",43014,0001-03-17,"Common Assault","Fernhill.",2897500,"Dunedin City."
"833",43021,0001-03-17,"Serious Assault Not Resulting in Injury","Hamilton Lake.",932400,"Hamilton City."
"834",43026,0001-03-17,"Serious Assault Not Resulting in Injury","Hataitai North.",2185500,"Wellington City."
"835",43034,0001-03-17,"Common Assault","Papatoetoe East.",668500,"Auckland."
"836",43041,0001-03-17,"Serious Assault Not Resulting in Injury","Sydenham.",2620400,"Christchurch City."
"837",43049,0001-03-17,"Common Assault","Heidelberg.",3149900,"Invercargill City."
"838",43054,0001-03-17,"Common Assault","Brighton.",2972700,"Dunedin City."
"839",43059,0001-03-17,"Common Assault","Te Mata.",1509700,"Hastings District."
"840",43061,0001-03-17,"Serious Assault Not Resulting in Injury","Nelson Park.",1429700,"Napier City."
"841",43066,0001-03-17,"Serious Assault Not Resulting in Injury","Geraldine.",2764800,"Timaru District."
"842",43074,0001-03-17,"Common Assault","Sunshine-Hospital Hill.",1036500,"Ruapehu District."
"843",43079,0001-03-17,"Common Assault","Palmerston North Central.",1831000,"Palmerston North City."
"844",43086,0001-03-17,"Serious Assault Not Resulting in Injury","Fernhill.",2895400,"Dunedin City."
"845",43094,0001-03-17,"Common Assault","Linwood.",2610200,"Christchurch City."
"846",43101,0001-03-17,"Serious Assault Not Resulting in Injury","Newton.",412000,"Auckland."
"847",43106,0001-03-17,"Serious Assault Not Resulting in Injury","Homai East.",776000,"Auckland."
"848",43108,0001-03-17,"Serious Assault Resulting in Injury","Dargaville.",116800,"Kaipara District."
"849",43109,0001-03-17,"Common Assault","Onehunga South East.",601000,"Auckland."
"850",43116,0001-03-17,"Serious Assault Not Resulting in Injury","Papakura East.",799500,"Auckland."
