OBJECTID,TALB2018_V1_00,TALB2018_V1_00_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,Age__life_cycle_groups_15_29_years_2006,Age__life_cycle_groups_30_64_years_2006,Age__life_cycle_groups_65_years_and_over_2006,Age__life_cycle_groups_total_2006,Age__life_cycle_groups_Under_15_years_2006,Age__life_cycle_groups_15_29_years_2013,Age__life_cycle_groups_30_64_years_2013,Age__life_cycle_groups_65_years_and_over_2013,Age__life_cycle_groups_total_2013,Age__life_cycle_groups_Under_15_years_2013,Age__life_cycle_groups_15_29_years_2018,Age__life_cycle_groups_30_64_years_2018,Age__life_cycle_groups_65_years_and_over_2018,Age__life_cycle_groups_total_2018,Age__life_cycle_groups_Under_15_years_2018,Pop_Total_2006,Pop_Total_2013,Pop_Total_2018,Age__life_cycle_groups_15_29_years_2013_2018_percentChange,Age__life_cycle_groups_30_64_years_2013_2018_percentChange,Age__life_cycle_groups_65_years_and_over_2013_2018_percentChange,Age__life_cycle_groups_total_2013_2018_percentChange,Age__life_cycle_groups_Under_15_years_2013_2018_percentChange
63,07200,Clutha District,6334.410482559999800,6369.412751500000000,2577,8160,2262,16839,3843,2658,8073,2655,16890,3501,2898,8271,3087,17667,3411,16839,16890,17667,9.000000000000000,2.500000000000000,16.300000000000001,4.600000000000000,-2.600000000000000
64,07300,Southland District,29552.355227939981000,31084.328163059978000,4725,13983,3285,28437,6444,4980,14073,4026,29613,6531,5262,14436,4635,30864,6534,28437,29613,30864,5.700000000000000,2.600000000000000,15.100000000000000,4.200000000000000,0.000000000000000
65,07400,Gore District,1253.829456800001000,1253.829456800001000,1923,5592,2034,12108,2559,1944,5391,2289,12033,2409,2079,5439,2508,12396,2373,12108,12033,12396,6.900000000000000,0.900000000000000,9.600000000000000,3.000000000000000,-1.500000000000000
66,07500,Invercargill City,389.875670510000020,495.324712310000050,9912,22818,7320,50325,10278,9891,23250,8301,51696,10254,10053,24249,9345,54204,10560,50325,51696,54204,1.600000000000000,4.300000000000000,12.600000000000000,4.900000000000000,3.000000000000000
67,07601,Rodney Local Board Area,2275.084522739998200,5809.411775049996300,7194,25011,5829,49359,11325,8253,26526,8688,54882,11412,10746,31323,11094,66417,13251,49359,54882,66417,30.199999999999999,18.100000000000001,27.699999999999999,21.000000000000000,16.100000000000001
68,07602,Hibiscus and Bays Local Board Area,110.078036339999940,454.625408310000470,13764,39264,12120,81858,16710,15276,41532,16020,89829,17007,18408,47784,18357,104010,19461,81858,89829,104010,20.500000000000000,15.100000000000000,14.600000000000000,15.800000000000001,14.400000000000000
69,07603,Upper Harbour Local Board Area,69.730786390000034,82.751913750000057,9135,20613,3741,42876,9381,12018,25443,5613,53670,10599,14130,29520,7602,62841,11589,42876,53670,62841,17.600000000000001,16.000000000000000,35.399999999999999,17.100000000000001,9.300000000000001
70,07604,Kaipatiki Local Board Area,34.066320999999974,49.171850230000018,18711,37278,7578,79128,15558,17985,39051,9462,82494,15993,20094,41472,10251,88269,16449,79128,82494,88269,11.699999999999999,6.200000000000000,8.300000000000001,7.000000000000000,2.900000000000000
71,07605,Devonport-Takapuna Local Board Area,20.044549729999996,55.820584819999958,10815,24840,7269,52653,9735,10899,25821,8463,55470,10287,11553,26604,9426,57975,10392,52653,55470,57975,6.000000000000000,3.000000000000000,11.400000000000000,4.500000000000000,1.000000000000000
72,07606,Henderson-Massey Local Board Area,53.219988060000091,64.608373360000101,21441,43914,9264,98790,24174,23274,48093,11391,107685,24924,26241,53172,12333,118422,26673,98790,107685,118422,12.699999999999999,10.600000000000000,8.300000000000001,10.000000000000000,7.000000000000000
