OBJECTID,dp_zone,SubZone,Centre_Type,Property_Report_Note,GlobalID,Shape__Area,Shape__Length
88,Outer Residential,,,,e97aafe3-4e2a-4247-b066-e8cfa7a82334,5854.265625,362.746222246133
89,Outer Residential,,,,2b3f8190-6662-412a-9f04-ddcf0cdcdca4,5847.9609375,347.058391217946
90,Outer Residential,,,,4f43cddf-fad5-42f0-bfb6-8215ca163985,5880.671875,337.189740026578
91,Outer Residential,,,,6d70bda0-a564-434f-a242-9d0d43ac2252,5955.9375,304.707348124054
92,Outer Residential,,,,7235dae2-05a3-47ec-85ce-c23a614755a3,6013.484375,374.661462631185
93,Outer Residential,,,,a681d508-57a8-4d78-8bfb-00f9e481888d,6046.8125,308.324441287357
94,Outer Residential,,,,b373aa99-24ef-4cb1-8aea-592156f4412b,6097.890625,375.618849356527
95,Outer Residential,,,,b8721bf8-a07c-41b0-bda7-2e807d70f4e5,6161.3359375,317.165364816398
96,Outer Residential,,,,202c5e03-041e-488b-b291-e8045dfd4bdd,6237.3125,349.679527153687
97,Outer Residential,,,,32acd440-a4d1-426f-afd2-8104285352df,6257.109375,327.510591916483
98,Outer Residential,,,,4e9845b7-a511-43ac-a924-9219ba7e9712,6266.328125,399.104237154894
99,Outer Residential,,,,1e559413-fd7b-4f13-b60f-e9fc73ef58ec,6290.2734375,372.169679819364
100,Outer Residential,,,,8e058090-cffc-4dfb-aaa2-2ce3ee380807,6307.625,704.511315675595
101,Outer Residential,,,,c54a0c52-c812-4a06-82c3-530564486961,6331.2890625,356.113950255257
102,Outer Residential,,,,e3e1f7a7-613a-43d7-9aae-809b1571ca41,6630.484375,341.277206035907
103,Outer Residential,,,,4377c431-720b-4930-9c09-e0effbafdf3d,6543.5390625,434.043116997807
104,Outer Residential,,,,4e3bdde6-dd30-4bde-a71e-83fd60d2e697,6753.6015625,338.990933076572
105,Outer Residential,,,,e6abdb7c-b643-4f68-922b-2cfec8e1590b,6813.40625,341.772723129496
106,Outer Residential,,,,6b41c096-89c1-4594-8f11-b1d84a5c8636,6883.3359375,376.030105175012
107,Outer Residential,,,,197222a9-892c-44df-971b-8977a0669e02,6896.7421875,383.873110510727
108,Outer Residential,,,,22f82b38-f864-42c7-829b-066230602be4,6939.5078125,407.701690655909
109,Outer Residential,,,,5c4408a7-391f-4765-9669-f5b5643e70b9,7001.359375,388.601170328817
110,Outer Residential,,,,984ac86a-93c1-4e5b-ba94-6221ae5f25d8,8486.84375,496.367342597144
111,Outer Residential,,,,ce505760-3574-444a-a993-a9bc6e16f503,7022.796875,430.118198067943
112,Outer Residential,,,,b7fda3b1-cdce-4241-8dcd-f95ae41ed155,7072.9140625,366.206345393646
113,Outer Residential,,,,bf28df0c-d0a0-43f6-b096-1b468c86dfc6,7213.671875,360.835312083408
114,Outer Residential,,,,969fdba4-48ec-411a-9897-8b462a8b36ba,7256.1484375,340.068050837808
115,Outer Residential,,,,f983c07b-5752-46c6-b572-c7aa0d68ca7e,7281.921875,353.167018419387
116,Outer Residential,,,,6ad2b580-55d1-477b-8209-91b1f6356738,7285.15625,410.32080372824
117,Outer Residential,,,,a359682e-8ce6-4203-8892-f2b893094d10,7296.125,424.555314839822
