"","month","year","Event","Area.Unit","Meshblock","Territorial.Authority","Alert.Level","Location","No"
"2799","3","19","Serious Assault Not Resulting in Injury","Hutt Central.",1967000,"Lower Hutt City.",4,"Wellington/ Lower-Central North",NA
"2800","3","19","Serious Assault Resulting in Injury","Puhinui South.",780205,"Auckland.",4,"Auckland",NA
"2801","3","19","Serious Assault Resulting in Injury","Paraparaumu Central.",2003709,"Kapiti Coast District.",4,"Wellington/ Lower-Central North",NA
"2802","3","19","Common Assault","Inlet-Tauranga Harbour.",1180502,"Tauranga City.",4,"Bay Of Plenty",NA
"2803","3","19","Common Assault","Millhouse.",711174,"Auckland.",4,"Auckland",NA
"2804","3","19","Common Assault","Alexandra.",3026600,"Central Otago District.",4,"Southland/ Otago",NA
"2805","3","19","Common Assault","Henderson South.",242700,"Auckland.",4,"Auckland",NA
"2806","3","19","Serious Assault Not Resulting in Injury","Red Beach East.",173119,"Auckland.",4,"Auckland",NA
"2807","3","19","Serious Assault Resulting in Injury","Playford Park.",1869800,"Horowhenua District.",4,"Wellington/ Lower-Central North",NA
"2808","3","19","Common Assault","Newton.",412100,"Auckland.",4,"Auckland",NA
"2809","3","19","Serious Assault Resulting in Injury","Clendon South.",774431,"Auckland.",4,"Auckland",NA
"2810","3","19","Common Assault","Whakatane North.",1305200,"Whakatane District.",4,"Bay Of Plenty",NA
"2811","3","19","Common Assault","Auckland Central West.",433700,"Auckland.",4,"Auckland",NA
"2812","3","19","Non-Aggravated Sexual Assault","Tauranga Central.",1164000,"Tauranga City.",4,"Bay Of Plenty",NA
"2813","3","19","Non-Aggravated Sexual Assault","Te Rapa.",907700,"Hamilton City.",4,"Waikato",NA
"2826","4","19","Common Assault","Hornby South.",2489600,"Christchurch City.",3,"Canterbury",NA
"2827","4","19","Common Assault","Oratia West.",278904,"Auckland.",3,"Auckland",NA
"2828","4","19","Common Assault","Auckland Central West.",434300,"Auckland.",3,"Auckland",NA
"2829","4","19","Common Assault","Auckland Central West.",434500,"Auckland.",3,"Auckland",NA
"2830","4","19","Common Assault","Georgetown.",3142500,"Invercargill City.",3,"Southland/ Otago",NA
"2831","4","19","Common Assault","Esplanade.",2028000,"Lower Hutt City.",3,"Wellington/ Lower-Central North",NA
"2832","4","19","Serious Assault Resulting in Injury","Papakura South.",800800,"Auckland.",3,"Auckland",NA
"2833","4","19","Common Assault","Hamilton Central.",911800,"Hamilton City.",3,"Waikato",NA
"2834","4","19","Common Assault","Papatoetoe West.",659300,"Auckland.",3,"Auckland",NA
"2835","4","19","Serious Assault Not Resulting in Injury","Richmond West.",2365600,"Tasman District.",3,"Tasman/ South-West Coast",NA
"2836","4","19","Serious Assault Resulting in Injury","Auckland Harbourside.",438103,"Auckland.",3,"Auckland",NA
"2837","4","19","Common Assault","Waikiwi.",3103800,"Invercargill City.",3,"Southland/ Otago",NA
"2838","4","19","Serious Assault Not Resulting in Injury","Clevedon.",763100,"Auckland.",3,"Auckland",NA
"2839","4","19","Serious Assault Resulting in Injury","Favona North.",729200,"Auckland.",3,"Auckland",NA
"2840","4","19","Common Assault","Chedworth.",877800,"Hamilton City.",3,"Waikato",NA
"2841","4","19","Common Assault","Petone Central.",2034000,"Lower Hutt City.",3,"Wellington/ Lower-Central North",NA
"2842","4","19","Common Assault","Kelston Central.",270202,"Auckland.",3,"Auckland",NA
"2843","4","19","Serious Assault Resulting in Injury","Waipukurau.",1520500,"Central Hawke's Bay District.",3,"Hawkes Bay/ Gisborne",NA
"2844","4","19","Aggravated Sexual Assault","Maraenui.",1446700,"Napier City.",3,"Hawkes Bay/ Gisborne",NA
"2845","4","19","Non-Aggravated Sexual Assault","Feilding Central.",1764800,"Manawatu District.",3,"West Coast/ Upper-Central North",NA
"2846","4","19","Aggravated Sexual Assault","Bluff Hill.",1423900,"Napier City.",3,"Hawkes Bay/ Gisborne",NA
"2847","4","19","Common Assault","Barrington North.",2641900,"Christchurch City.",3,"Canterbury",NA
"2848","4","19","Serious Assault Not Resulting in Injury","Donegal Park.",712807,"Auckland.",3,"Auckland",NA
"2849","4","19","Common Assault","Swarbrick.",918300,"Hamilton City.",3,"Waikato",NA
"2850","4","19","Serious Assault Not Resulting in Injury","Himatangi Beach.",1783801,"Manawatu District.",3,"West Coast/ Upper-Central North",NA
"2851","4","19","Serious Assault Resulting in Injury","Otara West.",698900,"Auckland.",3,"Auckland",NA
"2852","4","19","Common Assault","Moanataiari.",1050400,"Thames-Coromandel District.",3,"Waikato",NA
"2853","4","19","Serious Assault Resulting in Injury","Glendale.",2013600,"Lower Hutt City.",3,"Wellington/ Lower-Central North",NA
"2854","4","19","Common Assault","Puhinui North.",672500,"Auckland.",3,"Auckland",NA
"2855","4","19","Serious Assault Not Resulting in Injury","Papakura East.",799000,"Auckland.",3,"Auckland",NA
"2856","4","19","Serious Assault Resulting in Injury","Crawshaw.",906502,"Hamilton City.",3,"Waikato",NA
"2857","4","19","Serious Assault Not Resulting in Injury","Kaimai.",1191500,"Western Bay of Plenty District.",3,"Bay Of Plenty",NA
"2858","4","19","Common Assault","Alexandra.",3026500,"Central Otago District.",3,"Southland/ Otago",NA
"2859","4","19","Serious Assault Not Resulting in Injury","Lyall Bay-Airport-Moa Point.",2174600,"Wellington City.",3,"Wellington/ Lower-Central North",NA
"2860","4","19","Serious Assault Resulting in Injury","Hillcrest West.",887601,"Hamilton City.",3,"Waikato",NA
