"","month","year","Event","Area.Unit","Meshblock","Territorial.Authority","Alert.Level","Location","No"
"1216","4","18","Common Assault","Auckland Central West.",433501,"Auckland.",3,"Auckland",NA
"1217","4","18","Common Assault","Welbourn.",1601100,"New Plymouth District.",3,"West Coast/ Upper-Central North",NA
"1218","4","18","Common Assault","999999",-125,"Gisborne District.",3,"Hawkes Bay/ Gisborne",NA
"1219","4","18","Serious Assault Resulting in Injury","Wairakei-Aratiatia.",1279300,"Taupo District.",3,"Waikato",NA
"1220","4","18","Common Assault","Palmerston North Hospital.",1834400,"Palmerston North City.",3,"West Coast/ Upper-Central North",NA
"1221","4","18","Serious Assault Resulting in Injury","Puhinui South.",780205,"Auckland.",3,"Auckland",NA
"1222","4","18","Common Assault","Paraparaumu Central.",2003709,"Kapiti Coast District.",3,"Wellington/ Lower-Central North",NA
"1223","4","18","Common Assault","Albany.",178900,"Auckland.",3,"Auckland",NA
"1224","4","18","Common Assault","Tairua.",1059226,"Thames-Coromandel District.",3,"Waikato",NA
"1225","4","18","Serious Assault Not Resulting in Injury","Porirua Central.",2052500,"Porirua City.",3,"Wellington/ Lower-Central North",NA
"1226","4","18","Aggravated Sexual Assault","Naenae South.",1958400,"Lower Hutt City.",3,"Wellington/ Lower-Central North",NA
"1227","4","18","Non-Aggravated Sexual Assault","Masterton Central.",2245600,"Masterton District.",3,"Wellington/ Lower-Central North",NA
"1228","4","18","Aggravated Sexual Assault","Kamo West.",85800,"Whangarei District.",3,"Northland",NA
"1229","3","18","Common Assault","Cathedral Square.",2649300,"Christchurch City.",4,"Canterbury",NA
"1230","3","18","Common Assault","Welcome Bay West.",1180006,"Tauranga City.",4,"Bay Of Plenty",NA
"1231","3","18","Common Assault","Cannons Creek North.",2048300,"Porirua City.",4,"Wellington/ Lower-Central North",NA
"1232","3","18","Serious Assault Not Resulting in Injury","Westbrook.",1816304,"Palmerston North City.",4,"West Coast/ Upper-Central North",NA
"1233","3","18","Serious Assault Not Resulting in Injury","Whitianga.",1047101,"Thames-Coromandel District.",4,"Waikato",NA
"1234","3","18","Serious Assault Not Resulting in Injury","Wiri.",780407,"Auckland.",4,"Auckland",NA
"1235","3","18","Common Assault","Kaikohe.",41800,"Far North District.",4,"Northland",NA
"1236","3","18","Common Assault","Gordonton.",954000,"Waikato District.",4,"Waikato",NA
"1237","3","18","Serious Assault Not Resulting in Injury","Cromwell.",3029303,"Central Otago District.",4,"Southland/ Otago",NA
"1238","3","18","Serious Assault Not Resulting in Injury","Hamilton East.",892900,"Hamilton City.",4,"Waikato",NA
"1239","3","18","Serious Assault Not Resulting in Injury","Raetihi.",1675400,"Ruapehu District.",4,"West Coast/ Upper-Central North",NA
"1240","3","18","Serious Assault Resulting in Injury","Blenheim Central.",2297700,"Marlborough District.",4,"Tasman/ South-West Coast",NA
"1241","3","18","Common Assault","Aidanfield.",2484302,"Christchurch City.",4,"Canterbury",NA
"1242","3","18","Common Assault","Hillpark.",757300,"Auckland.",4,"Auckland",NA
"1243","3","18","Common Assault","Highfield.",2787000,"Timaru District.",4,"Canterbury",NA
"1244","3","18","Serious Assault Not Resulting in Injury","Akina.",1502000,"Hastings District.",4,"Hawkes Bay/ Gisborne",NA
"1245","3","18","Serious Assault Not Resulting in Injury","Kuirau.",1236000,"Rotorua District.",4,"Bay Of Plenty",NA
"1246","3","18","Serious Assault Not Resulting in Injury","Waikuku.",2446407,"Waimakariri District.",4,"Canterbury",NA
"1247","3","18","Common Assault","Papaeoia.",1835000,"Palmerston North City.",4,"West Coast/ Upper-Central North",NA
"1248","3","18","Common Assault","Hillmorton.",2630800,"Christchurch City.",4,"Canterbury",NA
"1249","3","18","Serious Assault Not Resulting in Injury","Kaiapoi South.",2453202,"Waimakariri District.",4,"Canterbury",NA
"1250","3","18","Common Assault","Kohitere.",1856907,"Horowhenua District.",4,"Wellington/ Lower-Central North",NA
"1251","3","18","Common Assault","Western Heights.",1218801,"Rotorua District.",4,"Bay Of Plenty",NA
"1252","3","18","Serious Assault Not Resulting in Injury","Waiwhetu South.",1977303,"Lower Hutt City.",4,"Wellington/ Lower-Central North",NA
"1253","3","18","Common Assault","Adelaide.",2149200,"Wellington City.",4,"Wellington/ Lower-Central North",NA
"1254","3","18","Serious Assault Not Resulting in Injury","Urlich.",235010,"Auckland.",4,"Auckland",NA
"1255","3","18","Serious Assault Not Resulting in Injury","Kaiapoi North West.",2451400,"Waimakariri District.",4,"Canterbury",NA
"1256","3","18","Common Assault","Papatoetoe West.",658201,"Auckland.",4,"Auckland",NA
"1257","3","18","Serious Assault Not Resulting in Injury","Springs Flat.",64300,"Whangarei District.",4,"Northland",NA
"1258","3","18","Aggravated Sexual Assault","Hagley Park.",2678500,"Christchurch City.",4,"Canterbury",NA
"1259","3","18","Aggravated Sexual Assault","Mt Eden North.",542700,"Auckland.",4,"Auckland",NA
"1260","3","18","Aggravated Sexual Assault","999999",-250,"Napier City.",4,"Hawkes Bay/ Gisborne",NA
"1261","4","18","Common Assault","Clendon South.",774449,"Auckland.",3,"Auckland",NA
"1262","4","18","Common Assault","Albany.",178900,"Auckland.",3,"Auckland",NA
"1263","4","18","Common Assault","Te Papapa.",607400,"Auckland.",3,"Auckland",NA
"1264","4","18","Common Assault","Auckland Central West.",434200,"Auckland.",3,"Auckland",NA
"1265","4","18","Common Assault","Waltham.",2624402,"Christchurch City.",3,"Canterbury",NA
"1266","4","18","Serious Assault Not Resulting in Injury","Masterton East.",2240400,"Masterton District.",3,"Wellington/ Lower-Central North",NA
"1267","4","18","Serious Assault Resulting in Injury","Avondale West.",389800,"Auckland.",3,"Auckland",NA
"1268","4","18","Serious Assault Resulting in Injury","Glenview.",926600,"Hamilton City.",3,"Waikato",NA
"1269","4","18","Common Assault","Nelson Park.",1428100,"Napier City.",3,"Hawkes Bay/ Gisborne",NA
"1270","4","18","Common Assault","Pakuranga Central.",684000,"Auckland.",3,"Auckland",NA
"1271","4","18","Common Assault","Paparua.",2494600,"Christchurch City.",3,"Canterbury",NA
"1272","4","18","Common Assault","Te Uku.",860800,"Waikato District.",3,"Waikato",NA
"1273","4","18","Serious Assault Not Resulting in Injury","Otaki.",1879501,"Kapiti Coast District.",3,"Wellington/ Lower-Central North",NA
"1274","4","18","Serious Assault Resulting in Injury","Tongariro.",1288100,"Taupo District.",3,"Waikato",NA
"1275","4","18","Common Assault","Auckland Central East.",438000,"Auckland.",3,"Auckland",NA
"1276","4","18","Common Assault","Taneatua.",1304000,"Whakatane District.",3,"Bay Of Plenty",NA
"1277","4","18","Common Assault","Bishopdale.",2521900,"Christchurch City.",3,"Canterbury",NA
"1278","4","18","Common Assault","Kelburn.",2155200,"Wellington City.",3,"Wellington/ Lower-Central North",NA
"1279","4","18","Common Assault","Mona Vale.",2472700,"Christchurch City.",3,"Canterbury",NA
"1280","4","18","Serious Assault Not Resulting in Injury","Poets Block.",1888200,"Upper Hutt City.",3,"Wellington/ Lower-Central North",NA
"1281","4","18","Serious Assault Not Resulting in Injury","Kamo East.",84600,"Whangarei District.",3,"Northland",NA
"1282","4","18","Serious Assault Resulting in Injury","Oruanui.",1277401,"Taupo District.",3,"Waikato",NA
"1283","4","18","Common Assault","Strathmore Park.",2213600,"Wellington City.",3,"Wellington/ Lower-Central North",NA
"1284","4","18","Common Assault","Auckland Harbourside.",432800,"Auckland.",3,"Auckland",NA
"1285","4","18","Common Assault","Avon Loop.",2658100,"Christchurch City.",3,"Canterbury",NA
"1286","4","18","Common Assault","Camberley.",1478700,"Hastings District.",3,"Hawkes Bay/ Gisborne",NA
"1287","4","18","Serious Assault Not Resulting in Injury","Hamilton Central.",911800,"Hamilton City.",3,"Waikato",NA
"1288","4","18","Serious Assault Resulting in Injury","Auckland Central West.",432700,"Auckland.",3,"Auckland",NA
"1379","5","18","Common Assault","Hamilton Central.",911401,"Hamilton City.",2,"Waikato",NA
"1380","5","18","Common Assault","Hawera North.",1646000,"South Taranaki District.",2,"West Coast/ Upper-Central North",NA
"1381","5","18","Common Assault","Gordonton.",953100,"Waikato District.",2,"Waikato",NA
"1382","5","18","Common Assault","Tuakau.",838600,"Waikato District.",2,"Waikato",NA
"1383","5","18","Common Assault","Manurewa Central.",751600,"Auckland.",2,"Auckland",NA
"1384","5","18","Serious Assault Not Resulting in Injury","Wiri.",780506,"Auckland.",2,"Auckland",NA
"1385","5","18","Serious Assault Resulting in Injury","Waikiwi.",3102900,"Invercargill City.",2,"Southland/ Otago",NA
"1386","5","18","Common Assault","Taupo Central.",1274000,"Taupo District.",2,"Waikato",NA
"1387","5","18","Common Assault","Hanmer Springs.",2427400,"Hurunui District.",2,"Canterbury",NA
"1388","5","18","Serious Assault Not Resulting in Injury","Kuirau.",1233400,"Rotorua District.",2,"Bay Of Plenty",NA
"1389","5","18","Serious Assault Resulting in Injury","Otahuhu West.",784500,"Auckland.",2,"Auckland",NA
"1390","5","18","Common Assault","Phillipstown.",2606400,"Christchurch City.",2,"Canterbury",NA
"1391","5","18","Common Assault","Wanganui Collegiate.",1721302,"Wanganui District.",2,"West Coast/ Upper-Central North",NA
"1392","5","18","Common Assault","Hamilton Central.",909500,"Hamilton City.",2,"Waikato",NA
"1393","5","18","Non-Aggravated Sexual Assault","Otorohanga.",997600,"Otorohanga District.",2,"Waikato",NA
"1394","5","18","Aggravated Sexual Assault","Waikato Western Hills.",852800,"Waikato District.",2,"Waikato",NA
"1395","5","18","Non-Aggravated Sexual Assault","Silverdale Central.",176602,"Auckland.",2,"Auckland",NA
"1502","4","18","Common Assault","Henderson South.",243300,"Auckland.",3,"Auckland",NA
"1503","4","18","Serious Assault Not Resulting in Injury","Yatton Park.",1174000,"Tauranga City.",3,"Bay Of Plenty",NA
"1504","4","18","Common Assault","Inlet-Bay of Islands.",58901,"Far North District.",3,"Northland",NA
"1505","4","18","Serious Assault Not Resulting in Injury","Masterton West.",2237100,"Masterton District.",3,"Wellington/ Lower-Central North",NA
"1506","4","18","Common Assault","Masterton Central.",2245100,"Masterton District.",3,"Wellington/ Lower-Central North",NA
"1507","4","18","Serious Assault Not Resulting in Injury","Netherby.",2734300,"Ashburton District.",3,"Canterbury",NA
"1508","4","18","Common Assault","Papatoetoe West.",657700,"Auckland.",3,"Auckland",NA
"1509","4","18","Common Assault","Highfield.",2788000,"Timaru District.",3,"Canterbury",NA
"1510","4","18","Serious Assault Not Resulting in Injury","Woodend.",2446903,"Waimakariri District.",3,"Canterbury",NA
"1511","4","18","Serious Assault Not Resulting in Injury","Warkworth.",141304,"Auckland.",3,"Auckland",NA
"1512","4","18","Serious Assault Resulting in Injury","Aro Street-Nairn Street.",2157900,"Wellington City.",3,"Wellington/ Lower-Central North",NA
"1513","4","18","Common Assault","Spreydon.",2643400,"Christchurch City.",3,"Canterbury",NA
"1514","4","18","Common Assault","Opawa.",2585900,"Christchurch City.",3,"Canterbury",NA
"1515","4","18","Serious Assault Not Resulting in Injury","Kingsley-Chatham.",1470305,"Hastings District.",3,"Hawkes Bay/ Gisborne",NA
"1516","4","18","Common Assault","Willis Street-Cambridge Terrace.",2131300,"Wellington City.",3,"Wellington/ Lower-Central North",NA
"1517","4","18","Serious Assault Not Resulting in Injury","Morrinsville West.",1086004,"Matamata-Piako District.",3,"Waikato",NA
"1518","4","18","Common Assault","Lochain.",1474001,"Hastings District.",3,"Hawkes Bay/ Gisborne",NA
"1519","4","18","Serious Assault Not Resulting in Injury","Levin East.",1862800,"Horowhenua District.",3,"Wellington/ Lower-Central North",NA
"1520","4","18","Common Assault","Edgecumbe.",1320700,"Whakatane District.",3,"Bay Of Plenty",NA
"1521","4","18","Serious Assault Not Resulting in Injury","Homedale West.",2019300,"Lower Hutt City.",3,"Wellington/ Lower-Central North",NA
"1522","4","18","Aggravated Sexual Assault","Te Puke East.",1215000,"Western Bay of Plenty District.",3,"Bay Of Plenty",NA
"1523","4","18","Aggravated Sexual Assault","Glendene South.",273500,"Auckland.",3,"Auckland",NA
"1524","4","18","Aggravated Sexual Assault","Rangoon Heights.",2090203,"Wellington City.",3,"Wellington/ Lower-Central North",NA
"1525","5","18","Common Assault","Auckland Central West.",434300,"Auckland.",2,"Auckland",NA
"1526","5","18","Common Assault","Adelaide.",2149300,"Wellington City.",2,"Wellington/ Lower-Central North",NA
"1527","5","18","Common Assault","Victoria.",1236600,"Rotorua District.",2,"Bay Of Plenty",NA
"1528","5","18","Common Assault","Willis Street-Cambridge Terrace.",2135700,"Wellington City.",2,"Wellington/ Lower-Central North",NA
"1529","5","18","Serious Assault Not Resulting in Injury","Porirua Central.",2052400,"Porirua City.",2,"Wellington/ Lower-Central North",NA
"1530","5","18","Serious Assault Not Resulting in Injury","Manukau Central.",780209,"Auckland.",2,"Auckland",NA
"1531","5","18","Serious Assault Resulting in Injury","Te Kauwhata.",938500,"Waikato District.",2,"Waikato",NA
"1532","5","18","Serious Assault Resulting in Injury","Welcome Bay East.",1180404,"Tauranga City.",2,"Bay Of Plenty",NA
"1533","5","18","Serious Assault Resulting in Injury","Mount Bryan.",1596000,"New Plymouth District.",2,"West Coast/ Upper-Central North",NA
"1534","5","18","Common Assault","Whangarei Central.",101602,"Whangarei District.",2,"Northland",NA
"1535","5","18","Common Assault","Wanganui Collegiate.",1722000,"Wanganui District.",2,"West Coast/ Upper-Central North",NA
"1536","5","18","Common Assault","Ranui South.",236201,"Auckland.",2,"Auckland",NA
"1537","5","18","Common Assault","Palmerston North Central.",1829100,"Palmerston North City.",2,"West Coast/ Upper-Central North",NA
"1538","5","18","Serious Assault Not Resulting in Injury","Beerescourt.",902000,"Hamilton City.",2,"Waikato",NA
"1539","5","18","Serious Assault Not Resulting in Injury","Paraparaumu Central.",2003709,"Kapiti Coast District.",2,"Wellington/ Lower-Central North",NA
"1540","5","18","Serious Assault Resulting in Injury","Sunnybrook.",1229901,"Rotorua District.",2,"Bay Of Plenty",NA
"1541","5","18","Common Assault","Palmerston North Central.",1829200,"Palmerston North City.",2,"West Coast/ Upper-Central North",NA
"1542","5","18","Common Assault","Waikanae West.",1875700,"Kapiti Coast District.",2,"Wellington/ Lower-Central North",NA
"1543","5","18","Common Assault","Ponsonby West.",428600,"Auckland.",2,"Auckland",NA
"1544","5","18","Common Assault","Poraiti.",1401301,"Napier City.",2,"Hawkes Bay/ Gisborne",NA
"1545","5","18","Common Assault","Kingswell-Clifton.",3152100,"Invercargill City.",2,"Southland/ Otago",NA
"1546","5","18","Serious Assault Not Resulting in Injury","Frimley.",1477100,"Hastings District.",2,"Hawkes Bay/ Gisborne",NA
"1547","5","18","Serious Assault Not Resulting in Injury","Gisborne Airport.",1374500,"Gisborne District.",2,"Hawkes Bay/ Gisborne",NA
"1548","5","18","Serious Assault Resulting in Injury","Taupo Central.",1272000,"Taupo District.",2,"Waikato",NA
"1549","5","18","Serious Assault Resulting in Injury","Mt Pleasant.",2698802,"Christchurch City.",2,"Canterbury",NA
"1550","5","18","Serious Assault Resulting in Injury","Manurewa Central.",750700,"Auckland.",2,"Auckland",NA
"1551","5","18","Serious Assault Resulting in Injury","Weymouth West.",773813,"Auckland.",2,"Auckland",NA
"1552","5","18","Common Assault","Grafton West.",440901,"Auckland.",2,"Auckland",NA
"1553","5","18","Common Assault","Auckland Central East.",438104,"Auckland.",2,"Auckland",NA
"1554","5","18","Common Assault","Millhouse.",3204003,"Auckland.",2,"Auckland",NA
"1555","5","18","Common Assault","Mt Eden North.",542700,"Auckland.",2,"Auckland",NA
"1556","5","18","Common Assault","Tahawai.",1181703,"Western Bay of Plenty District.",2,"Bay Of Plenty",NA
"1557","5","18","Common Assault","Whangarei Central.",100200,"Whangarei District.",2,"Northland",NA
"1558","5","18","Serious Assault Not Resulting in Injury","Onehunga North East.",594400,"Auckland.",2,"Auckland",NA
"1559","5","18","Serious Assault Not Resulting in Injury","Palmerston North Hospital.",1833000,"Palmerston North City.",2,"West Coast/ Upper-Central North",NA
"1560","5","18","Serious Assault Resulting in Injury","Tamatea North.",1451000,"Napier City.",2,"Hawkes Bay/ Gisborne",NA
"1561","5","18","Serious Assault Resulting in Injury","Karapiro.",1123000,"Waipa District.",2,"Waikato",NA
"1562","5","18","Serious Assault Resulting in Injury","Hawera South.",1644100,"South Taranaki District.",2,"West Coast/ Upper-Central North",NA
"1563","5","18","Common Assault","One Tree Hill Central.",623200,"Auckland.",2,"Auckland",NA
"1564","5","18","Common Assault","Kingseat.",811002,"Auckland.",2,"Auckland",NA
"1565","5","18","Common Assault","West End.",1808300,"Palmerston North City.",2,"West Coast/ Upper-Central North",NA
"1566","5","18","Common Assault","Hamilton Central.",911102,"Hamilton City.",2,"Waikato",NA
"1567","5","18","Common Assault","Glen Innes North.",466500,"Auckland.",2,"Auckland",NA
"1568","5","18","Serious Assault Not Resulting in Injury","Mt Wellington Domain.",627900,"Auckland.",2,"Auckland",NA
"1569","5","18","Serious Assault Not Resulting in Injury","Sunnyvale.",277600,"Auckland.",2,"Auckland",NA
"1570","5","18","Serious Assault Resulting in Injury","Cathedral Square.",2652200,"Christchurch City.",2,"Canterbury",NA
"1571","5","18","Common Assault","Target Road.",183800,"Auckland.",2,"Auckland",NA
"1572","5","18","Common Assault","Heretaunga.",1904300,"Upper Hutt City.",2,"Wellington/ Lower-Central North",NA
"1573","5","18","Common Assault","Whitney.",2299200,"Marlborough District.",2,"Tasman/ South-West Coast",NA
"1574","5","18","Common Assault","Whakatane West.",1310100,"Whakatane District.",2,"Bay Of Plenty",NA
"1575","5","18","Common Assault","Manurewa East.",758200,"Auckland.",2,"Auckland",NA
"1576","5","18","Common Assault","Utuhina.",1227000,"Rotorua District.",2,"Bay Of Plenty",NA
"1577","5","18","Serious Assault Not Resulting in Injury","Waimumu South.",228702,"Auckland.",2,"Auckland",NA
"1578","5","18","Serious Assault Not Resulting in Injury","Clendon South.",774431,"Auckland.",2,"Auckland",NA
"1579","5","18","Serious Assault Resulting in Injury","Mangere East.",749100,"Auckland.",2,"Auckland",NA
"1580","5","18","Serious Assault Resulting in Injury","Hillcrest.",1238400,"Rotorua District.",2,"Bay Of Plenty",NA
"1581","5","18","Common Assault","Middlemore.",786500,"Auckland.",2,"Auckland",NA
"1582","5","18","Serious Assault Not Resulting in Injury","Otahuhu West.",784200,"Auckland.",2,"Auckland",NA
"1611","3","18","Common Assault","Auckland Central East.",436300,"Auckland.",4,"Auckland",NA
"1612","3","18","Common Assault","Harania West.",734300,"Auckland.",4,"Auckland",NA
"1613","3","18","Common Assault","Elsdon-Takapuwahia.",2037500,"Porirua City.",4,"Wellington/ Lower-Central North",NA
"1614","3","18","Common Assault","Oamaru Central.",2841100,"Waitaki District.",4,"Canterbury",NA
"1615","3","18","Common Assault","Kilbirnie West-Hataitai South.",2179101,"Wellington City.",4,"Wellington/ Lower-Central North",NA
"1616","3","18","Common Assault","Masterton Central.",2245500,"Masterton District.",4,"Wellington/ Lower-Central North",NA
"1617","3","18","Serious Assault Not Resulting in Injury","Tauranga Central.",1163900,"Tauranga City.",4,"Bay Of Plenty",NA
"1618","3","18","Serious Assault Not Resulting in Injury","Lambton.",2127400,"Wellington City.",4,"Wellington/ Lower-Central North",NA
"1619","3","18","Serious Assault Resulting in Injury","Orewa.",171306,"Auckland.",4,"Auckland",NA
"1620","3","18","Serious Assault Resulting in Injury","Paparua.",2494600,"Christchurch City.",4,"Canterbury",NA
"1621","3","18","Common Assault","Arakura.",2010800,"Lower Hutt City.",4,"Wellington/ Lower-Central North",NA
"1622","3","18","Common Assault","Tirohanga.",1919400,"Lower Hutt City.",4,"Wellington/ Lower-Central North",NA
"1623","3","18","Common Assault","Te Hapara.",1366400,"Gisborne District.",4,"Hawkes Bay/ Gisborne",NA
"1624","3","18","Common Assault","Papatoetoe East.",669300,"Auckland.",4,"Auckland",NA
"1625","3","18","Common Assault","Hamilton Central.",910600,"Hamilton City.",4,"Waikato",NA
"1626","3","18","Serious Assault Not Resulting in Injury","Auckland Central West.",434200,"Auckland.",4,"Auckland",NA
"1627","3","18","Serious Assault Not Resulting in Injury","Midhirst.",1618300,"Stratford District.",4,"West Coast/ Upper-Central North",NA
"1628","3","18","Serious Assault Resulting in Injury","Orana Park.",2840400,"Waitaki District.",4,"Canterbury",NA
"1629","3","18","Common Assault","Birkenhead East.",357300,"Auckland.",4,"Auckland",NA
"1630","3","18","Common Assault","Penrose.",622300,"Auckland.",4,"Auckland",NA
"1631","3","18","Common Assault","Upper Hutt Central.",1905800,"Upper Hutt City.",4,"Wellington/ Lower-Central North",NA
"1632","3","18","Common Assault","Cathedral Square.",2648200,"Christchurch City.",4,"Canterbury",NA
"1633","3","18","Common Assault","Ferndale.",644400,"Auckland.",4,"Auckland",NA
"1634","3","18","Common Assault","Leamington West.",967401,"Waipa District.",4,"Waikato",NA
"1635","3","18","Common Assault","Huntly East.",944200,"Waikato District.",4,"Waikato",NA
"1636","3","18","Serious Assault Not Resulting in Injury","Marewa.",1435800,"Napier City.",4,"Hawkes Bay/ Gisborne",NA
"1637","3","18","Serious Assault Not Resulting in Injury","Mangawhai Heads.",133435,"Kaipara District.",4,"Northland",NA
"1638","3","18","Serious Assault Not Resulting in Injury","Pahiatua.",2218100,"Tararua District.",4,"Wellington/ Lower-Central North",NA
"1639","3","18","Serious Assault Resulting in Injury","Papakura Central.",792000,"Auckland.",4,"Auckland",NA
"1640","3","18","Serious Assault Resulting in Injury","Churton Park South.",2081100,"Wellington City.",4,"Wellington/ Lower-Central North",NA
"1641","3","18","Common Assault","Seaview.",2795900,"Timaru District.",4,"Canterbury",NA
"1642","3","18","Common Assault","Taupo Central.",1274300,"Taupo District.",4,"Waikato",NA
"1643","3","18","Common Assault","Willis Street-Cambridge Terrace.",2135700,"Wellington City.",4,"Wellington/ Lower-Central North",NA
"1644","3","18","Common Assault","Otorohanga Rural East.",999400,"Otorohanga District.",4,"Waikato",NA
"1645","3","18","Common Assault","Peachgrove.",896001,"Hamilton City.",4,"Waikato",NA
"1646","3","18","Common Assault","Turangi.",1282600,"Taupo District.",4,"Waikato",NA
"1647","3","18","Serious Assault Not Resulting in Injury","Glendale.",2013100,"Lower Hutt City.",4,"Wellington/ Lower-Central North",NA
"1648","3","18","Serious Assault Not Resulting in Injury","Ardmore.",761500,"Auckland.",4,"Auckland",NA
"1649","3","18","Serious Assault Resulting in Injury","Opotiki.",1339500,"Opotiki District.",4,"Bay Of Plenty",NA
"1650","3","18","Serious Assault Resulting in Injury","Beachhaven North.",344000,"Auckland.",4,"Auckland",NA
"1651","3","18","Common Assault","Willis Street-Cambridge Terrace.",2135700,"Wellington City.",4,"Wellington/ Lower-Central North",NA
"1652","3","18","Common Assault","Point Chevalier East.",392500,"Auckland.",4,"Auckland",NA
"1653","3","18","Common Assault","Papakowhai South.",2056639,"Porirua City.",4,"Wellington/ Lower-Central North",NA
"1654","3","18","Common Assault","Auckland Harbourside.",432900,"Auckland.",4,"Auckland",NA
"1655","3","18","Common Assault","North Dunedin.",2865601,"Dunedin City.",4,"Southland/ Otago",NA
"1656","3","18","Common Assault","Hagley Park.",2678500,"Christchurch City.",4,"Canterbury",NA
"1657","3","18","Serious Assault Not Resulting in Injury","Manurewa Central.",751600,"Auckland.",4,"Auckland",NA
"1658","3","18","Serious Assault Not Resulting in Injury","Kuirau.",1235100,"Rotorua District.",4,"Bay Of Plenty",NA
"1659","3","18","Serious Assault Resulting in Injury","Bridge Pa.",1470213,"Hastings District.",4,"Hawkes Bay/ Gisborne",NA
"1660","3","18","Serious Assault Resulting in Injury","Brockville.",2882800,"Dunedin City.",4,"Southland/ Otago",NA
"1661","3","18","Common Assault","999999",-348,"Christchurch City.",4,"Canterbury",NA
"1662","3","18","Common Assault","Auckland Central East.",436600,"Auckland.",4,"Auckland",NA
"1663","3","18","Common Assault","Allandale-Mokorua.",1306000,"Whakatane District.",4,"Bay Of Plenty",NA
"1664","3","18","Common Assault","Roslyn.",1840700,"Palmerston North City.",4,"West Coast/ Upper-Central North",NA
"1665","3","18","Common Assault","Murupara.",1329500,"Whakatane District.",4,"Bay Of Plenty",NA
"1666","3","18","Serious Assault Not Resulting in Injury","Favona North.",730002,"Auckland.",4,"Auckland",NA
"1667","3","18","Serious Assault Resulting in Injury","Hikuai.",1056705,"Thames-Coromandel District.",4,"Waikato",NA
"1668","3","18","Serious Assault Resulting in Injury","Manukau Central.",780209,"Auckland.",4,"Auckland",NA
"1669","3","18","Common Assault","Takanini West.",768001,"Auckland.",4,"Auckland",NA
"1670","3","18","Serious Assault Resulting in Injury","Tauranga Hospital.",1170500,"Tauranga City.",4,"Bay Of Plenty",NA
"1671","3","18","Common Assault","Beachhaven North.",341801,"Auckland.",4,"Auckland",NA
"1672","3","18","Common Assault","Richmond East.",2363204,"Tasman District.",4,"Tasman/ South-West Coast",NA
"1673","3","18","Common Assault","Regent.",95800,"Whangarei District.",4,"Northland",NA
"1674","3","18","Common Assault","Auckland Central West.",433900,"Auckland.",4,"Auckland",NA
"1675","3","18","Common Assault","Bay View.",1413501,"Napier City.",4,"Hawkes Bay/ Gisborne",NA
"1676","3","18","Common Assault","Bruce.",2988300,"Clutha District.",4,"Southland/ Otago",NA
"1677","3","18","Serious Assault Not Resulting in Injury","Fairy Springs.",1221100,"Rotorua District.",4,"Bay Of Plenty",NA
"1678","3","18","Serious Assault Not Resulting in Injury","Hamilton East.",894100,"Hamilton City.",4,"Waikato",NA
"1679","3","18","Serious Assault Resulting in Injury","Clarkin.",870900,"Hamilton City.",4,"Waikato",NA
"1680","3","18","Serious Assault Resulting in Injury","Paremoremo East.",179600,"Auckland.",4,"Auckland",NA
"1681","3","18","Aggravated Sexual Assault","Marlborough Sounds Terrestrial.",2283400,"Marlborough District.",4,"Tasman/ South-West Coast",NA
"1682","3","18","Non-Aggravated Sexual Assault","Lehmans.",2450008,"Waimakariri District.",4,"Canterbury",NA
"1683","3","18","Aggravated Sexual Assault","Elsmore Park.",682200,"Auckland.",4,"Auckland",NA
"1684","3","18","Non-Aggravated Sexual Assault","Ngauranga East.",2078302,"Wellington City.",4,"Wellington/ Lower-Central North",NA
"1685","3","18","Aggravated Sexual Assault","Hastings Central.",1489900,"Hastings District.",4,"Hawkes Bay/ Gisborne",NA
"1686","3","18","Non-Aggravated Sexual Assault","999999",-278,"Lower Hutt City.",4,"Wellington/ Lower-Central North",NA
"1687","3","18","Aggravated Sexual Assault","Hautapu.",960100,"Waipa District.",4,"Waikato",NA
"1688","3","18","Aggravated Sexual Assault","999999",-229,"Palmerston North City.",4,"West Coast/ Upper-Central North",NA
"1689","3","18","Aggravated Sexual Assault","Rolleston South East.",2719404,"Selwyn District.",4,"Canterbury",NA
"1729","6","18","Common Assault","Moerewa.",55000,"Far North District.",1,"Northland",NA
"1730","6","18","Common Assault","Nelson Park.",1429000,"Napier City.",1,"Hawkes Bay/ Gisborne",NA
"1731","6","18","Common Assault","Wade Heads.",174007,"Auckland.",1,"Auckland",NA
"1732","6","18","Serious Assault Resulting in Injury","Fitzroy.",1599500,"New Plymouth District.",1,"West Coast/ Upper-Central North",NA
"1733","6","18","Common Assault","Linwood North.",2612502,"Christchurch City.",1,"Canterbury",NA
"1734","6","18","Common Assault","Newton.",412600,"Auckland.",1,"Auckland",NA
"1735","6","18","Serious Assault Not Resulting in Injury","Tikipunga West.",86300,"Whangarei District.",1,"Northland",NA
"1736","6","18","Serious Assault Resulting in Injury","Hillsborough East.",567900,"Auckland.",1,"Auckland",NA
"1737","6","18","Common Assault","Willis Street-Cambridge Terrace.",2131300,"Wellington City.",1,"Wellington/ Lower-Central North",NA
"1738","6","18","Common Assault","Maitai.",2321200,"Nelson City.",1,"Tasman/ South-West Coast",NA
"1739","6","18","Common Assault","Grey Lynn West.",404500,"Auckland.",1,"Auckland",NA
