"","year","Event","Meshblock","Alert.Level","Location","number_of_victimizations"
"269","17","Common Assault",2507202,4,"Canterbury",NA
"270","17","Common Assault",62501,4,"Northland",NA
"271","17","Non-Aggravated Sexual Assault",436100,4,"Auckland",NA
"272","17","Serious Assault Not Resulting in Injury",2888300,2,"Southland/ Otago",NA
"273","17","Common Assault",1699500,2,"West Coast/ Upper-Central North",NA
"274","17","Common Assault",2783900,2,"Canterbury",NA
"275","17","Serious Assault Not Resulting in Injury",1923200,2,"Wellington/ Lower-Central North",NA
"276","17","Serious Assault Not Resulting in Injury",1701800,2,"West Coast/ Upper-Central North",NA
"277","17","Common Assault",2897800,2,"Southland/ Otago",NA
"278","17","Serious Assault Not Resulting in Injury",772802,2,"Auckland",NA
"279","17","Serious Assault Not Resulting in Injury",-141,2,"Bay Of Plenty",NA
"280","17","Serious Assault Not Resulting in Injury",85502,2,"Northland",NA
"281","17","Common Assault",1965900,2,"Wellington/ Lower-Central North",NA
"282","17","Common Assault",1389200,2,"Hawkes Bay/ Gisborne",NA
"283","17","Serious Assault Not Resulting in Injury",2676500,2,"Canterbury",NA
"284","17","Serious Assault Not Resulting in Injury",1220300,2,"Bay Of Plenty",NA
"285","17","Serious Assault Resulting in Injury",2361800,2,"Tasman/ South-West Coast",NA
"286","17","Aggravated Sexual Assault",-166,2,"Waikato",NA
"287","17","Aggravated Sexual Assault",-64,2,"Auckland",NA
"288","17","Aggravated Sexual Assault",1816303,2,"West Coast/ Upper-Central North",NA
"289","17","Aggravated Sexual Assault",2304507,2,"Tasman/ South-West Coast",NA
"290","17","Aggravated Sexual Assault",-279,2,"Wellington/ Lower-Central North",NA
"342","17","Common Assault",2240500,3,"Wellington/ Lower-Central North",NA
"343","17","Serious Assault Not Resulting in Injury",1097200,3,"Waikato",NA
"344","17","Common Assault",53304,3,"Northland",NA
"345","17","Serious Assault Not Resulting in Injury",1875115,3,"Wellington/ Lower-Central North",NA
"346","17","Serious Assault Resulting in Injury",2288200,3,"Tasman/ South-West Coast",NA
"347","17","Common Assault",1955600,3,"Wellington/ Lower-Central North",NA
"348","17","Common Assault",781200,3,"Auckland",NA
"349","17","Serious Assault Not Resulting in Injury",781200,3,"Auckland",NA
"350","17","Common Assault",2542401,3,"Canterbury",NA
"351","17","Non-Aggravated Sexual Assault",2143000,2,"Wellington/ Lower-Central North",NA
"352","17","Aggravated Sexual Assault",364900,2,"Auckland",NA
"353","17","Aggravated Sexual Assault",2342600,2,"Tasman/ South-West Coast",NA
"354","17","Aggravated Sexual Assault",1481000,2,"Hawkes Bay/ Gisborne",NA
"355","17","Aggravated Sexual Assault",2663700,2,"Canterbury",NA
"356","17","Aggravated Sexual Assault",1455032,3,"Hawkes Bay/ Gisborne",NA
"357","17","Non-Aggravated Sexual Assault",-159,3,"Waikato",NA
"457","17","Serious Assault Not Resulting in Injury",780409,4,"Auckland",NA
"458","17","Serious Assault Resulting in Injury",714802,4,"Auckland",NA
"459","17","Common Assault",823300,4,"Auckland",NA
"460","17","Common Assault",2399000,4,"Tasman/ South-West Coast",NA
"461","17","Common Assault",2609700,4,"Canterbury",NA
"462","17","Serious Assault Not Resulting in Injury",2406000,4,"Tasman/ South-West Coast",NA
"463","17","Serious Assault Resulting in Injury",1235200,4,"Bay Of Plenty",NA
"464","17","Common Assault",2649300,4,"Canterbury",NA
"465","17","Common Assault",2729700,4,"Canterbury",NA
"466","17","Common Assault",1196100,4,"Bay Of Plenty",NA
"467","17","Serious Assault Not Resulting in Injury",2791100,4,"Canterbury",NA
"468","17","Serious Assault Resulting in Injury",1469708,4,"Hawkes Bay/ Gisborne",NA
"469","17","Common Assault",433003,4,"Auckland",NA
"470","17","Common Assault",2126000,4,"Wellington/ Lower-Central North",NA
"471","17","Serious Assault Not Resulting in Injury",857700,4,"Waikato",NA
"472","17","Serious Assault Resulting in Injury",2643200,4,"Canterbury",NA
"473","17","Common Assault",1936100,4,"Wellington/ Lower-Central North",NA
"474","17","Common Assault",1237300,4,"Bay Of Plenty",NA
"475","17","Serious Assault Resulting in Injury",1356500,4,"Hawkes Bay/ Gisborne",NA
"476","17","Common Assault",2164600,4,"Wellington/ Lower-Central North",NA
"477","17","Common Assault",1840700,4,"West Coast/ Upper-Central North",NA
"478","17","Serious Assault Not Resulting in Injury",667400,4,"Auckland",NA
"479","17","Aggravated Sexual Assault",1221200,4,"Bay Of Plenty",NA
"480","17","Aggravated Sexual Assault",1821700,4,"West Coast/ Upper-Central North",NA
"655","17","Common Assault",2141200,3,"Wellington/ Lower-Central North",NA
"656","17","Common Assault",1419300,3,"Hawkes Bay/ Gisborne",NA
"657","17","Serious Assault Resulting in Injury",1234700,3,"Bay Of Plenty",NA
"658","17","Common Assault",731103,3,"Auckland",NA
